book,positions_changed,Sharpe_mid,Sharpe_crossed,gain_crossed,ci_lo,ci_hi,placebo_p
sign(s),0,1.3383216004229939,0.8695877009703311,0.0,0.0,0.0,
third Fridays forced short,10,1.3548370244734949,0.8831161324250952,0.013528431454764123,-0.16673148907406712,0.1786263880177111,0.35332333833083457
month-ends forced long,43,1.9969329535870863,1.5352446879988975,0.6656569870285663,0.14918567043819386,1.2114270039685808,
both,53,2.013664598016916,1.5486465289373037,0.6790588279669726,0.12063189142793497,1.2561919725096935,
