book,day type,n,pts_per_contract,t
"short straddle sold 11:00, held",third Friday,72,2.974946133812399,3.4170304093600135
"short straddle sold 11:00, held",other Fridays,232,1.5931488578108313,2.7835630938817575
"short straddle sold 11:00, held",every other session,1206,1.0987511097518667,4.41636848496257
"short straddle sold 13:30, held",third Friday,72,2.9994041248011607,5.339932840586716
"short straddle sold 13:30, held",other Fridays,232,1.0624608495471253,1.779243347554645
"short straddle sold 13:30, held",every other session,1207,0.7953323343520833,3.370192633046997
"short straddle sold 14:30, held",third Friday,72,2.211132473704549,3.585757907574207
"short straddle sold 14:30, held",other Fridays,232,1.5766216071172272,2.796398307234119
"short straddle sold 14:30, held",every other session,1207,0.5701204183465228,2.3251590702996867
