period,day type,n,short_bid_mean,t,hit,pts_per_contract,worst
deck,third Friday,52,0.24965914680033027,2.4428760785525814,0.6346153846153846,1.3486459186443915,-1.6963713612298768
deck,third Thursday,24,-0.0011486473264601393,-0.005472239200773967,0.5,1.3641499479611714,-2.5752890956025225
deck,third Wednesday,52,-0.18582668854597553,-1.0952389527446114,0.5961538461538461,-1.6332528963685036,-4.414102035302375
deck,Friday #1,51,0.13358433138162584,0.9167340485699463,0.6078431372549019,0.2541005611419678,-4.349934895833333
deck,Friday #2,52,-0.005027239425352272,-0.03433471258086482,0.6538461538461539,-0.8053973615169525,-3.1240234375
deck,Friday #4,47,-0.09892079704776598,-0.5262116105119664,0.5957446808510638,-2.292773446504106,-4.9080078125
deck,Friday #5,18,-0.15694311872833733,-0.7186235200001297,0.5555555555555556,-1.175545334815979,-2.50437337428328
deck,other Fridays,168,-0.005493268738157586,-0.06445152808128018,0.6130952380952381,-0.9395339416251296,-4.9080078125
deck,every other session,814,-0.03752411780883433,-0.8985262816671236,0.6056511056511057,-0.3114390439498044,-10.954857518943221
holdout,third Friday,20,0.5519716725466071,3.9299026650900157,0.85,3.336015611886978,-1.5931102400398305
holdout,third Thursday,19,0.11574065104953575,0.6051759617762491,0.6842105263157895,0.29522515598096344,-1.548355575158861
holdout,third Wednesday,20,-0.10588656536044712,-0.3639016715675205,0.65,-2.4934570372104643,-3.9480190814456995
holdout,Friday #1,19,0.5060700567140751,4.241054418612221,0.8947368421052632,3.216313700926931,-0.6341609540951743
holdout,Friday #2,20,0.19382046535919434,0.4954441908654967,0.8,2.4494774878025054,-6.802605977844012
holdout,Friday #4,19,0.025441465607139148,0.10243595019127835,0.6842105263157895,-0.4347399143796218,-2.943559599080218
holdout,Friday #5,6,-0.6718252558686156,-0.7061537465516373,0.5,-2.051513910293579,-5.072823867553434
holdout,other Fridays,64,0.155377760876176,0.9079920512352921,0.765625,1.3989120037294924,-6.802605977844012
holdout,every other session,393,0.00043773589736966265,0.007472005208115758,0.638676844783715,-0.12222538277999742,-6.802605977844012
all,third Friday,72,0.3336348483965183,3.9475480706275956,0.6944444444444444,1.9006930556562212,-1.6963713612298768
all,third Thursday,43,0.050500112421072926,0.35293556475698523,0.5813953488372093,0.8918343422024749,-2.5752890956025225
all,third Wednesday,72,-0.16362109877221764,-1.1225389426100618,0.6111111111111112,-1.8721984910468261,-4.414102035302375
all,Friday #1,70,0.23468759968614777,2.0894235066325813,0.6857142857142857,1.0581298419407437,-4.349934895833333
all,Friday #2,72,0.0502082341259107,0.33390736042975605,0.6944444444444444,0.09873454107178582,-6.802605977844012
all,Friday #4,66,-0.06311953961680845,-0.41824078798778835,0.6212121212121212,-1.7578850054379664,-4.9080078125
all,Friday #5,24,-0.28566365301340696,-1.0241963727770758,0.5416666666666666,-1.394537478685379,-5.072823867553434
all,other Fridays,232,0.038884946327865474,0.5008172379430985,0.6551724137931034,-0.2944454049755787,-6.802605977844012
all,every other session,1207,-0.025163713080965093,-0.7399848849316312,0.6164043082021541,-0.2498309504620379,-10.954857518943221
