rule,Sharpe mid,Sharpe crossed-spread,mean/day mid,mean/day crossed-spread,crossings/day,break-even half-spread % prem,settlement leg Sharpe crossed-spread,worst day crossed-spread,maxDD_prem crossed-spread,bars with no tradeable fill
always short,0.05889812386361147,-0.33195320138658274,0.03748927161035445,-0.2112971613942547,11.994226327944572,0.3125609821369689,-0.26208980565343687,-87.76321361182511,-325.11708049589834,0
"always short, flat at 15:30",0.03779781247615522,-0.31642640238042646,0.02301423223196715,-0.19266936572942775,10.994226327944572,0.20933016608427218,,-88.12401042578995,-308.33425414609565,0
sign(s),0.7086648422264566,0.13139840988401286,0.30394743598423213,0.0563188053568356,11.979214780600461,2.5372901442292752,0.9107188335106059,-74.17914354449893,-220.95186227065005,0
"always short, sign(s) close",0.19539236786361885,-0.20924907487178313,0.11981601593116192,-0.12830997314689352,11.988452655889146,0.9994285281871145,0.9107188335106059,-87.76321361182511,-284.1428749232166,0
