hour,rule,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
10,always short,1729.0,-0.008454152723964886,0.9633724059161485,-7.80991350474584,-0.44601320367504793,0.22585278270269227,0.7038496556900298,1.0,-1.9545037093173137,7.0425138870113,-0.36489959651671633,-0.13930803196775748,0.0,0.0
10,"always short, flat at 15:30",1729.0,-0.008454152723964886,0.9633724059161485,-7.80991350474584,-0.44601320367504793,0.22585278270269227,0.7038496556900298,1.0,-1.9545037093173137,7.0425138870113,-0.36489959651671633,-0.13930803196775748,0.0,0.0
10,sign(s),1729.0,0.008723950483750983,0.9633699991098111,-7.80991350474584,-0.575058726553561,0.06780612055073587,0.6634406227710317,6.792035014665593,-0.5821536613703785,7.132487550953768,0.3765455946395422,0.14375413466087664,604.0,34.933487565066514
10,"always short, sign(s) close",1729.0,-0.008454152723964886,0.9633724059161485,-7.80991350474584,-0.44601320367504793,0.22585278270269227,0.7038496556900298,1.0,-1.9545037093173137,7.0425138870113,-0.36489959651671633,-0.13930803196775748,0.0,0.0
11,always short,1730.0,-0.004904221405035082,1.0367588562706986,-9.403195539401485,-0.45225986268053386,0.2364176062418818,0.740158052410387,1.0,-2.553193415929704,12.954285450775881,-0.1967502832142043,-0.07509181214306244,0.0,0.0
11,"always short, flat at 15:30",1730.0,-0.004904221405035082,1.0367588562706986,-9.403195539401485,-0.45225986268053386,0.2364176062418818,0.740158052410387,1.0,-2.553193415929704,12.954285450775881,-0.1967502832142043,-0.07509181214306244,0.0,0.0
11,sign(s),1730.0,0.037822470942401064,1.0346726135618785,-9.403195539401485,-0.6001293250924353,0.07758479873481078,0.6997870352493774,7.221804566341255,-0.6275925697858863,13.203418269514492,1.520442481672097,0.5802928430031867,700.0,40.46242774566474
11,"always short, sign(s) close",1730.0,-0.004904221405035082,1.0367588562706986,-9.403195539401485,-0.45225986268053386,0.2364176062418818,0.740158052410387,1.0,-2.553193415929704,12.954285450775881,-0.1967502832142043,-0.07509181214306244,0.0,0.0
12,always short,1732.0,0.0009276146073916926,1.0787783608566222,-10.814947115812744,-0.42425474417007225,0.24403365013611744,0.7431248380673015,1.0,-3.0689691020500502,18.88225240305612,0.035785681839796024,0.013650093398538737,0.0,0.0
12,"always short, flat at 15:30",1732.0,0.0009276146073916926,1.0787783608566222,-10.814947115812744,-0.42425474417007225,0.24403365013611744,0.7431248380673015,1.0,-3.0689691020500502,18.88225240305612,0.035785681839796024,0.013650093398538737,0.0,0.0
12,sign(s),1732.0,-0.001970792726686009,1.0787769586669336,-10.814947115812744,-0.6099957244684208,0.0412118751370818,0.6739471815631899,5.799997615814249,-1.8898373243000313,18.857928412268784,-0.07602969228490508,-0.029000772023770664,736.0,42.494226327944574
12,"always short, sign(s) close",1732.0,0.0009276146073916926,1.0787783608566222,-10.814947115812744,-0.42425474417007225,0.24403365013611744,0.7431248380673015,1.0,-3.0689691020500502,18.88225240305612,0.035785681839796024,0.013650093398538737,0.0,0.0
13,always short,1732.0,-0.0200452719472269,1.1478036368401325,-11.8487548828125,-0.41691618811647824,0.2565519655765157,0.7586055524255647,1.0,-3.5030672067423527,25.047922785255764,-0.7268056586391755,-0.27723280968698616,0.0,0.0
