hhmm,n,"buy, R>0","buy, R<=0","sell, R>0","sell, R<=0",accuracy,buy share,base rate P(R>0),P(R>0 | buy),P(R<=0 | sell)
10:00,864,114,189,180,381,0.5729166666666666,0.3506944444444444,0.3402777777777778,0.37623762376237624,0.679144385026738
10:30,865,99,202,173,391,0.5664739884393064,0.34797687861271676,0.31445086705202313,0.3289036544850498,0.6932624113475178
11:00,865,116,249,162,338,0.5248554913294797,0.42196531791907516,0.3213872832369942,0.3178082191780822,0.676
11:30,864,120,215,161,368,0.5648148148148148,0.38773148148148145,0.32523148148148145,0.3582089552238806,0.6956521739130435
12:00,866,144,223,176,323,0.5392609699769053,0.4237875288683603,0.3695150115473441,0.3923705722070845,0.6472945891783567
12:30,866,138,231,167,330,0.5404157043879908,0.42609699769053117,0.35219399538106233,0.37398373983739835,0.6639839034205232
13:00,866,167,251,143,305,0.5450346420323325,0.48267898383371827,0.3579676674364896,0.39952153110047844,0.6808035714285714
13:30,866,108,162,197,399,0.5854503464203233,0.3117782909930716,0.35219399538106233,0.4,0.6694630872483222
14:00,864,162,263,154,285,0.5173611111111112,0.49189814814814814,0.36574074074074076,0.3811764705882353,0.6492027334851936
14:30,865,131,210,207,317,0.5179190751445086,0.3942196531791908,0.39075144508670523,0.3841642228739003,0.6049618320610687
15:00,862,70,115,259,418,0.5661252900232019,0.21461716937354988,0.38167053364269143,0.3783783783783784,0.6174298375184638
15:30,861,139,205,182,335,0.5505226480836237,0.3995354239256678,0.37282229965156793,0.40406976744186046,0.6479690522243714
