signal,fill,disagree % of bars,dSharpe,pct lo,pct hi,basic lo,basic hi,reading
M1,mid,10.438347524440239,-0.6012916284231535,-1.108723706735069,-0.10694131236366006,-1.095641944482647,-0.09385955011123803,excludes zero
M1,crossed,10.438347524440239,-0.5726562416492951,-1.0602503584171763,-0.09024276288984269,-1.0550697204087474,-0.08506212488141385,excludes zero
M2,mid,15.883527804057607,-1.1469781455120724,-1.8171608600632485,-0.5898277115011251,-1.7041285795230197,-0.4767954309608964,excludes zero
M2,crossed,15.883527804057607,-1.0319747534114847,-1.6740109040869149,-0.46664923611545783,-1.5973002707075117,-0.3899386027360545,excludes zero
M3,mid,17.323662356774943,-1.4398688913244366,-2.1407102183133904,-0.8511586695068007,-2.0285791131420723,-0.7390275643354829,excludes zero
M3,crossed,17.323662356774943,-1.3177084177312726,-1.9944288838620183,-0.7408056646419837,-1.8946111708205615,-0.6409879516005268,excludes zero
