,q25,median,q75,zero_bid_share_of_window_median
window / slice,1.1290104050169425,1.2315651042295266,1.3764572007827112,0.03920465823831287
window (zero-bid dropped) / slice,1.0976544351706736,1.1694783849733243,1.2610110278114273,
strip / slice,5.365160583593198,9.30098860450656,16.880213038171714,
window / strip,0.08129630141007989,0.13349745201762014,0.21776107313756074,
