deck,y,spec,n,adj_R2,b_IV,t_IV,b_RV,t_RV,b_rv_hat,t_rv_hat,b_s,t_s
sub_live_ridge,R (return on premium),IV only,866,0.0008692847245849178,1140.796430730998,2.6088479459736584,,,,,,
sub_live_ridge,R (return on premium),RV only,866,0.005317638851499384,,,2194.1403928836703,4.039941542853668,,,,
sub_live_ridge,R (return on premium),"IV + RV (his Panel C, ex post)",866,0.01583265730726413,-9268.188753047109,-2.388776556731048,11722.769931403152,2.5924380388045094,,,,
sub_live_ridge,R (return on premium),IV + rv_hat (ex ante),866,0.001180459835660841,3775.727906942971,3.0854510705175553,,,-2249.4763292492203,-2.5247984150919747,,
sub_live_ridge,R (return on premium),"IV + RV, standardised",866,0.01583265730726413,-0.41218268426604543,-2.38877655673107,0.4845029247227472,2.5924380388045334,,,,
sub_live_ridge,R (return on premium),"IV + rv_hat, standardised",866,0.001180459835660841,0.16791734665851604,3.085451070517543,,,-0.12488096897005459,-2.5247984150919627,,
sub_live_ridge,R (return on premium),"s = rv_hat - IV, standardised",866,-0.0007969910865694985,,,,,,,-0.021394954181306526,-0.8048124991257904
sub_live_ridge,R (return on premium),1{s > 0} (the traded sign),866,0.00988930014617917,,,,,,,0.24145603378738403,2.9431730588995637
sub_live_ridge,PnL % of spot,IV only,866,0.14531352030767064,1988.3279675394717,3.599101627672249,,,,,,
sub_live_ridge,PnL % of spot,RV only,866,0.2526174606008088,,,2816.2118550207933,5.845754771889056,,,,
sub_live_ridge,PnL % of spot,"IV + RV (his Panel C, ex post)",866,0.3634775439581268,-5880.027969719594,-6.4935289592372,8861.471580786558,9.066776334780814,,,,
sub_live_ridge,PnL % of spot,IV + rv_hat (ex ante),866,0.22148888382565224,5903.772409468237,5.4943795576004835,,,-3342.6674166385983,-4.432095513694271,,
sub_live_ridge,PnL % of spot,"IV + RV, standardised",866,0.36347754395812715,-0.26150154865173836,-6.493528959237223,0.3662452580202345,9.066776334780853,,,,
sub_live_ridge,PnL % of spot,"IV + rv_hat, standardised",866,0.22148888382565224,0.2625575313440178,5.49437955760053,,,-0.18557009936342805,-4.432095513694309,,
sub_live_ridge,PnL % of spot,"s = rv_hat - IV, standardised",866,0.012479020520331008,,,,,,,-0.026980965655930847,-0.7123066782724898
sub_live_ridge,PnL % of spot,1{s > 0} (the traded sign),866,0.0007567560380634664,,,,,,,0.020606734966188697,1.4656614383706879
blk2,R (return on premium),IV only,866,0.0008692847245849178,1140.796430730998,2.6088479459736584,,,,,,
blk2,R (return on premium),RV only,866,0.005317638851499384,,,2194.1403928836703,4.039941542853668,,,,
blk2,R (return on premium),"IV + RV (his Panel C, ex post)",866,0.01583265730726413,-9268.188753047109,-2.388776556731048,11722.769931403152,2.5924380388045094,,,,
blk2,R (return on premium),IV + rv_hat (ex ante),866,0.0035371038466817106,5763.495985988093,5.374523378085309,,,-4834.146076898519,-4.910801660506359,,
blk2,R (return on premium),"IV + RV, standardised",866,0.01583265730726413,-0.41218268426604543,-2.38877655673107,0.4845029247227472,2.5924380388045334,,,,
blk2,R (return on premium),"IV + rv_hat, standardised",866,0.0035371038466817106,0.25631904027419933,5.374523378085309,,,-0.2170668594239128,-4.910801660506357,,
blk2,R (return on premium),"s = rv_hat - IV, standardised",866,0.0033694630672722603,,,,,,,-0.07582425823430625,-4.791609257353011
blk2,R (return on premium),1{s > 0} (the traded sign),866,0.005769347992188201,,,,,,,0.19138211102471173,2.3650022294648028
blk2,PnL % of spot,IV only,866,0.14531352030767064,1988.3279675394717,3.599101627672249,,,,,,
blk2,PnL % of spot,RV only,866,0.2526174606008088,,,2816.2118550207933,5.845754771889056,,,,
blk2,PnL % of spot,"IV + RV (his Panel C, ex post)",866,0.3634775439581268,-5880.027969719594,-6.4935289592372,8861.471580786558,9.066776334780814,,,,
blk2,PnL % of spot,IV + rv_hat (ex ante),866,0.2830521193787079,7695.61550895444,9.440799236788196,,,-5968.344113276154,-8.824016211160226,,
blk2,PnL % of spot,"IV + RV, standardised",866,0.36347754395812715,-0.26150154865173836,-6.493528959237223,0.3662452580202345,9.066776334780853,,,,
blk2,PnL % of spot,"IV + rv_hat, standardised",866,0.2830521193787079,0.3422458845065506,9.44079923678825,,,-0.2679955657155554,-8.824016211160263,,
blk2,PnL % of spot,"s = rv_hat - IV, standardised",866,0.17532578965985135,,,,,,,-0.09706415088486088,-4.280779760396434
blk2,PnL % of spot,1{s > 0} (the traded sign),866,-0.0010506548469597643,,,,,,,0.004871061435607719,0.32631080298597565
