date,iv_window,iv_window_nozero,zero_bid_share,n_K_window,F_window,strip_C,slice_iv_var,rv_next,leg_gap,spot_gap
2020-01-03,4.37296787118803e-06,3.871942221470089e-06,0.09626719552391852,26.0,3237.9500000476837,2.689312373517635e-05,3.1819318771688767e-06,4.137799224855479e-06,0.0,0.0
2020-01-06,2.743280999429679e-06,2.19653736573666e-06,0.1979111525408921,26.0,3240.4499999284744,1.5497508860754726e-05,1.503767505478472e-06,8.113045660270672e-07,0.0,0.0
2020-01-08,2.9172127974160197e-06,2.40175291022383e-06,0.1616716176521053,26.0,3266.7000000476837,1.5123436434920742e-05,1.6902344532950676e-06,4.41269176474633e-06,0.0,0.0
2020-01-10,4.501288497432586e-06,3.962003601337517e-06,0.10696669866333816,26.0,3267.4000000953674,2.6356467707810527e-05,3.0010598341045634e-06,3.808510411943179e-06,0.0,0.0
2020-01-13,2.666459075499966e-06,2.1321782515726782e-06,0.1697457028832035,26.0,3282.275000035763,1.4924415700196259e-05,1.4023168761943097e-06,6.250794844585497e-07,0.0,0.0
2020-01-15,3.904923632310122e-06,3.4418196794715633e-06,0.07630807325313035,27.0,3284.8250000476837,1.4975001223085038e-05,2.8217311486427946e-06,2.04300616453454e-06,0.0,0.0
2020-01-17,3.465288571801635e-06,2.9907826631621396e-06,0.0908717147783382,27.0,3324.399999976158,4.1699299725379846e-05,2.4698872460870987e-06,1.2710805063784274e-06,0.0,0.0
2020-01-21,2.5813675995868675e-06,2.083974257866766e-06,0.1272521859980286,27.0,3323.8249999284744,1.4199337270827398e-05,1.6286110849346142e-06,1.921321015801409e-06,0.0,0.0
2020-01-22,4.149734816745625e-06,3.6969132583571673e-06,0.10208862275826576,26.0,3321.774999976158,1.534301323485534e-05,2.6119569382183825e-06,1.9266913575906886e-06,0.0,0.0
2020-01-24,6.979578743087128e-06,6.588740431539603e-06,0.05305505566672028,26.0,3297.050000190735,3.695108419281666e-05,5.361542296827836e-06,6.161459509095427e-06,0.0,0.0
2020-01-27,8.574768508568167e-06,8.17354303894428e-06,0.046770749454140795,26.0,3250.2000000476837,2.042061619006842e-05,6.6190175105108674e-06,3.759476395789003e-06,0.0,0.0
2020-01-29,8.087477421623435e-06,7.765926822690112e-06,0.037572925632643465,26.0,3282.25,1.906490903792283e-05,5.942344979341443e-06,3.4484680364554384e-06,0.0,0.0
2020-01-31,1.7946939593396594e-05,1.76793817261127e-05,0.014624554021252642,26.0,3221.9000000953674,4.788159090585923e-05,1.5568331853396228e-05,1.487518455730974e-05,0.0,0.0
