pair,root,n_common,complete,dqlike,dm_t
blk3_user-vs-blk2_user,,0,False,,
blk4_user-vs-blk3_user,,0,False,,
blk3_doc-vs-blk2_doc,,0,False,,
blk4_doc-vs-blk3_doc,,0,False,,
blk3_tuned-vs-blk2_tuned,,0,False,,
blk4_tuned-vs-blk3_tuned,,0,False,,
blk4_trail-vs-blk3_user,,0,False,,
blk4_trailG-vs-blk3_user,,0,False,,
blk4_trailGhat-vs-blk3_user,,0,False,,
blk4_trail_tuned-vs-blk3_tuned,,0,False,,
blk4_trailG_tuned-vs-blk3_tuned,,0,False,,
blk4_trailG_tuned-vs-blk4_trail_tuned,,0,False,,
blk_bucketpen_tuned-vs-blk4_trail_tuned,,0,False,,
blk_bucketpen_tuned-vs-blk3_tuned,,0,False,,
blk4_trailGShaped-vs-blk4_trailG_tuned,,0,False,,
blk4_trailGShaped-vs-blk4_trail_tuned,,0,False,,
blk4_trailGShapedWide-vs-blk4_trailGShaped,unification,248686,True,6.051783579e-07,0.0219172
blk4_trailGShapedWide-vs-blk4_trailG_tuned,,0,False,,
blk4_trailGShaped_fine-vs-blk4_trailGShaped,unification,248686,True,-5.411413192e-05,-0.986188
blk4_trailGShaped_fine-vs-blk4_trailG_tuned,,0,False,,
b1_ridge_tuned_fine-vs-b1_ridge_tuned,,0,False,,
blk2_rotVarFullK_js-vs-blk2_gated_tuned,unification,248686,True,0.02349884017,21.5477
blk2_rotVarFortyK_js-vs-blk2_gated_tuned,,0,False,,
blk2_rotVarThirtyK_js-vs-blk2_gated_tuned,unification,248686,True,0.01977559111,19.5437
blk2_rotVarTwentyK_js-vs-blk2_gated_tuned,unification,248686,True,0.008279632928,12.2105
blk2_rotPredThirtyK_js-vs-blk2_gated_tuned,unification,248686,True,0.01846252233,19.4991
blk2_rotPredTwentyK_js-vs-blk2_gated_tuned,unification,248686,True,0.007574494219,11.4067
blk2_rotPredTenK_js-vs-blk2_gated_tuned,unification,248686,True,0.005530568546,7.81358
blk2_rotPredFiveK_js-vs-blk2_gated_tuned,unification,248686,True,0.0036284362,5.75053
blk2_rotPredThirtyK_js-vs-blk2_rotVarThirtyK_js,unification,248686,True,-0.00131306878,-3.19136
blk2_rotPredTwentyK_js-vs-blk2_rotVarTwentyK_js,unification,248686,True,-0.0007051387093,-1.56875
blk2_gated_tuned-vs-blk3_tuned,,0,False,,
blk2_rotVarFullK_tuned-vs-blk2_gated_tuned,unification,248686,True,0.001541272942,4.33391
blk2_rotVarThirtyK_tuned-vs-blk2_gated_tuned,unification,248686,True,0.0015847175,4.30225
blk2_rotVarTwentyK_tuned-vs-blk2_gated_tuned,unification,248686,True,0.001143707639,3.37174
blk2_rotPredThirtyK_tuned-vs-blk2_gated_tuned,unification,248686,True,0.001642532169,4.72237
blk2_rotPredTwentyK_tuned-vs-blk2_gated_tuned,unification,248686,True,0.001295814039,3.02116
blk2_rotPredTenK_tuned-vs-blk2_gated_tuned,unification,248686,True,0.00198173501,3.86494
blk2_rotPredFiveK_tuned-vs-blk2_gated_tuned,unification,248686,True,0.002422970478,4.05827
blk2_rotPredThirtyK_tuned-vs-blk2_rotVarThirtyK_tuned,unification,248686,True,5.781466904e-05,0.157852
blk2_rotPredTwentyK_tuned-vs-blk2_rotVarTwentyK_tuned,unification,248686,True,0.0001521064001,0.430092
blk3_ew_tuned-vs-blk3_tuned,,0,False,,
blk3_ew_tuned-vs-blk4_trailG40_tuned,unification,248686,True,0.001951785149,1.96719
blk3_ewFixed_H3000-vs-blk3_tuned,,0,False,,
blk3_ewFixed_H12000-vs-blk3_tuned,,0,False,,
blk2_gfull_tuned-vs-blk2_gated_tuned,unification,248686,True,0.001691158231,3.08583
blk2_gfull_tuned-vs-blk2_pcrForty_tuned,unification,248686,True,-0.001530010075,-0.828538
blk2_gfull_tuned-vs-a0_ols_har,unification,248686,True,-0.001604830947,-2.89039
blk2_rotFullProd_tuned-vs-blk2_gated_tuned,unification,248686,True,-1.275758404e-15,-0.499675
blk2_rotFullProd_tuned-vs-blk2_rotVarFullK_tuned,unification,248686,True,-0.001541272942,-4.33391
blk2_gFortyRungs_tuned-vs-blk2_gated_tuned,unification,248686,True,0.001693077184,3.52605
blk2_gFortyRungsInd_tuned-vs-blk2_gated_tuned,unification,248686,True,0.000875816503,2.5855
blk2_plsTwentyRungsInd_tuned-vs-blk2_gated_tuned,unification,248686,True,0.001250818021,2.9376
blk2_plsTenRungsInd_tuned-vs-blk2_gated_tuned,unification,248686,True,0.0008804970244,2.2636
blk2_gFortyRungs_tuned-vs-blk2_pcrForty_tuned,unification,248686,True,-0.001528091121,-0.853897
blk2_gFortyRungsInd_tuned-vs-blk2_gFortyRungs_tuned,unification,248686,True,-0.0008172606815,-2.40057
blk2_plsTwentyRungsInd_tuned-vs-blk2_gFortyRungsInd_tuned,unification,248686,True,0.0003750015184,1.10885
blk2_plsTenRungsInd_tuned-vs-blk2_plsTwentyRungsInd_tuned,unification,248686,True,-0.000370320997,-1.27665
blk3_jsNeff_tuned-vs-blk3_tuned,,0,False,,
blk3_jsNeff_tuned-vs-blk3_js_tuned,,0,False,,
blk3_npebNeff_tuned-vs-blk3_tuned,,0,False,,
blk3_npebNeff_tuned-vs-blk3_npeb_tuned,,0,False,,
blk3_js_tuned-vs-blk3_tuned,,0,False,,
blk3_js_tuned-vs-blk4_trailG_tuned,,0,False,,
blk3_npeb_tuned-vs-blk3_tuned,,0,False,,
blk3_npeb_tuned-vs-blk4_trailG_tuned,,0,False,,
blk3_js_pcbasis_tuned-vs-blk3_tuned,,0,False,,
blk3_js_pcbasis_tuned-vs-blk4_trailG_tuned,,0,False,,
blk3_jsDiag_tuned-vs-blk3_tuned,,0,False,,
blk3_jsDiag_tuned-vs-blk3_js_pcbasis_tuned,unification,248686,True,0.01165397356,22.2095
blk3_jsDiag_tuned-vs-blk3_js_tuned,unification,248686,True,0.03819815077,38.9027
blk4_trailG40_tuned-vs-blk4_trailG_tuned,,0,False,,
blk4_trailG40_tuned-vs-blk4_trailGShaped,unification,248686,True,-2.608889677e-05,-0.358085
blk4_trailG40_tuned-vs-blk3_tuned,,0,False,,
blk4_trailGShapedFrozen-vs-blk4_trailGShapedWide,unification,248686,True,5.181322702e-05,0.418989
blk4_trailGShapedFrozen-vs-blk4_trailG_tuned,,0,False,,
