arm,root,n_bars,n_chunks_present,incomplete,qlike,qlike_none,qlike_duan,dm_t_vs_a0,oos_r2_vs_a0,mz_alpha,mz_beta,sigma2_mean,masked_col_events,calib_a_mean,calib_b_mean,calib_fallback_windows,var_fallback_windows
a0_ols_har,unification_fomc1,273554,100,False,0.2252086531,0.2409743907,0.231649857,0,0,3.134335268e-06,-6.197456235e-08,0.1409678528,0,-0.00939171,1.01858,0,0
a_bucket_all_features,unification_fomc1,273554,100,False,0.228187626,0.3306358097,0.2293762827,4.58405,1.954043302e-05,3.134332062e-06,-5.524029288e-08,0.1411129226,11460,0.0740601,0.932062,0,0
b1_ridge,unification_fomc1,273554,100,False,0.2255056719,0.2575540606,0.2267691309,0.499791,0.01502726546,3.134327269e-06,-4.425021513e-08,0.1396284227,0,0.0589512,0.947282,0,0
b2_lasso,unification_fomc1,273554,100,False,0.2223139702,0.2385575753,0.2236480692,-4.62566,0.03533659087,3.134323892e-06,-3.544906505e-08,0.1378176505,0,0.020649,0.987103,0,0
blk2_user,unification_fomc1,273554,100,False,0.2220646487,0.2376238206,0.2235847783,-5.62649,0.03334577769,3.134324688e-06,-3.742388789e-08,0.1380590891,0,0.025564,0.981687,0,0
a_bucket_fomc,unification_fomc1,273554,100,False,0.2239981928,0.2440949716,0.2294816265,-3.60477,0.0007334231387,3.134333941e-06,-5.942341696e-08,0.140853894,72,-0.0028811,1.01087,0,0
a0_ols_har_condvar,unification_fomc1,248686,90,False,0.2212538201,,,3.45653,,7.759652543e-07,0.6689218238,,0,,,0,0
a0_ols_har_condvar_backbone,unification_fomc1,248686,90,False,0.2204315738,,,2.76807,,4.721565529e-07,0.7749334813,,0,,,0,0
