sample,day_set,route,forecast,rule,n_days,n_gated_out,n_placebo,sharpe_rule,placebo_mean,placebo_sd,placebo_q05,placebo_q50,placebo_q95,pct_rank,p_value
whole,full,A_persistence_profile,a0,full_two_stage,865,364,2000,3.289647997157327,2.194274022083226,0.38294873558791204,1.5751097150922386,2.1820703216545034,2.8440082324773446,0.9975,0.0029985007496251873
whole,oos,A_persistence_profile,a0,full_two_stage,797,344,2000,3.1868113464881733,2.2874644876766497,0.3987981870186987,1.628663094324892,2.277473276591869,2.9448965371710982,0.9845,0.015992003998001
whole,full,A_persistence_profile,a0,control_i_gate_only_hold,865,364,2000,3.497408520012243,2.5313283150743326,0.38402419026322177,1.9018498502934096,2.512292489448149,3.2017907295419668,0.9945,0.005997001499250375
whole,oos,A_persistence_profile,a0,control_i_gate_only_hold,797,344,2000,3.221212128098349,2.4331712926199125,0.41084055950647935,1.7908972423126897,2.416588593699392,3.1356767753987684,0.9645,0.035982008995502246
whole,full,A_persistence_profile,a0,control_iii_reverse,865,501,2000,0.439729143302755,1.5350442604221126,0.4542186915971615,0.8032642300153183,1.5161972061912445,2.297023199179301,0.0055,0.9945027486256871
whole,oos,A_persistence_profile,a0,control_iii_reverse,797,453,2000,0.4931540325731797,1.3873203749520977,0.4587040938698028,0.6447448247645442,1.390588496604325,2.148813283070222,0.0225,0.9775112443778111
whole,full,A_persistence_profile,a0,oracle_gate_on_actual_1530,865,286,2000,2.8907921082779824,2.7122860047910975,0.34324463719333337,2.157357290814436,2.710082935824763,3.3005618072358853,0.7155,0.2848575712143928
whole,oos,A_persistence_profile,a0,oracle_gate_on_actual_1530,797,248,2000,2.975103618001615,2.704121080960762,0.3478123813851791,2.1470160289237183,2.6871911704081164,3.3078264476429835,0.7815,0.21889055472263869
era,full,A_persistence_profile,a0,full_two_stage,489,218,2000,3.4979331862396843,2.3404607588542885,0.5319854325483123,1.5017082018609036,2.3227554455551487,3.236638348755196,0.9775,0.022988505747126436
era,oos,A_persistence_profile,a0,full_two_stage,489,218,2000,3.4979331862396843,2.332019778636568,0.5161509242317158,1.5351103042352146,2.3066166481544093,3.2335193722134767,0.984,0.01649175412293853
