date,r_crossed,r_mid,move_pts,move_pct,worst_bar_prem,worst_bar_clock,worst_bar_ret,trend_ratio,vol_ratio,option_prem,hedge_prem,vega_prem,theta_prem,convexity_prem,residual_prem
2024-04-04,-2.2028675866604797,-2.041976485629983,-90.27001953125,-0.01720969685099405,-1.476842184121223,14:00-14:30,-0.007351621448929923,0.8523044561152197,0.0,-8.024752361662873,5.821884775002394,-0.0,0.4199628374173921,-2.096593480443813,-0.526236943634059
2023-12-20,-1.747477911899129,-1.684291209704012,-60.43017578125,-0.012661659676858172,-1.7531904987789209,14:30-15:00,-0.008489147546819582,0.8283652086009543,0.0,-5.40109864859701,3.653620736697881,-0.0,0.5136791841051752,-2.052676622338283,-0.2084804736660211
2023-07-27,-1.6252482162275939,-1.5890779953135548,-47.0,-0.010245655820005362,-1.2798825778024663,13:00-13:30,-0.004483289922672304,0.6544194245845382,0.0,-2.8382980103822466,1.2130497941546527,-0.0,0.3734101083263802,-1.7120837247841534,-0.28657459976982036
2020-07-13,-1.3786732979288878,-1.2677862865776157,-45.800048828125,-0.014199320011241578,-0.9831730085127962,14:00-14:30,-0.006304614362939269,0.5649828071185428,3.900259354824266,-2.7862901473931525,1.4076168494642647,-0.02298065909346877,0.5807740760219943,-1.6552044653090334,-0.28126224954837986
2023-08-04,-1.3760367484519183,-1.3384874125030326,-42.2099609375,-0.009328539605394814,-1.1032576188116512,14:00-14:30,-0.005640031300855652,0.5987002163789427,2.941961234470999,-2.003952531578918,0.6279157831269997,-0.010661129089557136,0.3949607319470063,-1.5055722869265737,-0.2547640643827939
2022-11-08,-1.3138002133730429,-1.2900535219497629,-1.739990234375,-0.00045323221597737273,-0.8694704184767567,13:00-13:30,-0.006933948541099001,0.01062626679618307,1.5894974566027262,0.5329815424265163,-1.8467817557995592,-0.20396781055071286,0.7514611691386969,-1.6550158883988262,-0.20627768356220014
2022-10-13,-1.2319294576131805,-1.2030683891896476,125.25,0.035315811498386696,-1.187267210744184,11:00-11:30,0.01873639879970408,0.643406019435659,3.4715182933443303,-2.8346333571022275,1.6027038994890472,-0.004834084408255317,0.06264176418181751,-1.15736179972135,-0.1323753376653932
2021-11-22,-1.2008615279463397,-1.1308614791003324,-14.3203125,-0.003023650726277194,-1.169484351777979,11:30-12:00,-0.004461163267962885,0.26197678137251257,2.2642735893252715,-0.8733334108922229,-0.3275281170541168,-0.04059869045760962,0.3491000542107491,-1.3029992226380542,-0.2063636690614249
2020-08-26,-1.1889839055155627,-1.0513026795901164,24.72998046875,0.007157260329569981,-0.37708452234576234,15:00-15:30,0.0034225965145255324,0.45300031517286776,3.782189246332471,-2.1159420786247463,0.9269581731091837,-0.0855128796731578,0.4289147950682744,-1.0683006220107327,-0.46408519889994654
2024-03-08,-1.0351372349137165,-0.9807894004013464,-56.1298828125,-0.010831618897073292,-0.8214797163456515,11:00-11:30,-0.005488174771300139,0.49866773295935735,3.0648805474251515,-2.419254731710981,1.384117496797265,-0.005289302825857192,0.15053646692030828,-0.9801904331690566,-0.2001939658391111
