block,metric,sample,n,mean,median,sum_prem,n_bars,share_of_bars,share,convexity_mean,convexity_sum,hedge_mean,hedge_sum,theta_mean,bar_pnl_mean,mean_abs_bar_ret,tercile_lo,tercile_hi,worst,Sharpe_ann,mean_convexity,mean_theta,p05,p25,p75,p90,p95,share_above_one,share_at_zero
A0_day_means,"crossed book, day return",daily_era,489.0,0.053293323690799435,0.11048529319870375,26.060435284800924,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book, option leg (entry premium - buy-back)",daily_era,489.0,-0.053584547952490215,0.22291024680367424,-26.202843948767715,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book, hedge leg (sum delta dS)",daily_era,489.0,0.10687787164328966,-0.0856441110603289,52.26327923356864,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book, = theta earned",daily_era,489.0,0.5424294847734592,0.5742738165685813,265.2480180542216,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book, + convexity paid (the gamma bill)",daily_era,489.0,-0.40460017070211013,-0.3357680606979848,-197.84948347333184,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book, + vega at the buy-back",daily_era,489.0,-0.030553040810000327,-0.01998442017278966,-14.94043695609016,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book, + residual",daily_era,489.0,-0.05398294957054942,-0.04013283987746062,-26.397662339998668,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book,    of which volatility path",daily_era,489.0,-0.027410733871015284,-0.011833360295737297,-13.403848862926473,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book,    of which entry basis",daily_era,489.0,-0.010717354311179659,-0.010459057299371362,-5.240786258166853,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book,    of which exit basis",daily_era,489.0,-0.015854861388354485,-0.014705870415726413,-7.753027218905343,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book, buy-back, intrinsic at 15:30",daily_era,489.0,0.9349178183673842,0.7010934624320627,457.17481318165085,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"crossed book, buy-back, time value at 15:30",daily_era,489.0,0.10795353589625911,0.06530791126685533,52.789279053270704,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, day return",whole,865.0,0.08487953095628267,0.141002170099299,73.42079427718451,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, option leg (entry premium - buy-back)",whole,865.0,0.0036210161022613412,0.2570621301312865,3.13217892845606,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, hedge leg (sum delta dS)",whole,865.0,0.08125851485402132,-0.09941956211902726,70.28861534872844,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, = theta earned",whole,865.0,0.5743160802446521,0.604852680992338,496.783409411624,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, + convexity paid (the gamma bill)",whole,865.0,-0.39002962319993634,-0.33081383524179403,-337.37562406794495,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, + vega at the buy-back",whole,865.0,-0.05170015830990052,-0.03278522911109752,-44.72063693806395,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, + residual",whole,865.0,-0.04770676777853256,-0.031717633224683114,-41.26635412843066,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book,    of which volatility path",whole,865.0,-0.048832267608618085,-0.03204164772852318,-42.23991148145464,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book,    of which entry basis",whole,865.0,-5.770779421855089e-07,-1.240218896960473e-07,-0.0004991724199904651,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book,    of which exit basis",whole,865.0,0.0011260769080277103,1.998048939089877e-12,0.9740565254439694,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, buy-back, intrinsic at 15:30",whole,865.0,0.8827236058025161,0.6666604005374016,763.5559190191764,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, buy-back, time value at 15:30",whole,865.0,0.11365537809522266,0.061543430655430525,98.3119020523676,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, day return",daily_era,489.0,0.08091561068044172,0.1355711762660554,39.567733622736,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, option leg (entry premium - buy-back)",daily_era,489.0,-0.025962260962847962,0.25283021690710533,-12.695545610832653,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, hedge leg (sum delta dS)",daily_era,489.0,0.10687787164328966,-0.0856441110603289,52.26327923356864,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, = theta earned",daily_era,489.0,0.5424294847734592,0.5742738165685813,265.2480180542216,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, + convexity paid (the gamma bill)",daily_era,489.0,-0.40460017070211013,-0.3357680606979848,-197.84948347333184,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, + vega at the buy-back",daily_era,489.0,-0.030553040810000327,-0.01998442017278966,-14.94043695609016,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, + residual",daily_era,489.0,-0.026360662580907145,-0.01045982184774409,-12.890364002063594,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book,    of which volatility path",daily_era,489.0,-0.027410733871015284,-0.011833360295737297,-13.403848862926473,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book,    of which entry basis",daily_era,489.0,-4.1606223328007466e-06,-1.6943468443761382e-06,-0.0020345443207395652,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book,    of which exit basis",daily_era,489.0,0.0010542319124409363,1.9648653434728947e-12,0.5155194051836178,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, buy-back, intrinsic at 15:30",daily_era,489.0,0.9349178183673842,0.7010934624320627,457.17481318165085,,,,,,,,,,,,,,,,,,,,,,,
A0_day_means,"mid book, buy-back, time value at 15:30",daily_era,489.0,0.09104444259546368,0.04353819609715837,44.52073242918174,,,,,,,,,,,,,,,,,,,,,,,
A1_convexity_concentration,|bar return| > 0.25%,whole,,,,-179.8128424782176,1346.0,0.1728965960179833,0.5329752052329798,,,,,,,,,,,,,,,,,,,,
A1_convexity_concentration,|bar return| > 0.50%,whole,,,,-64.71975658527445,307.0,0.03943481053307643,0.19183293625339207,,,,,,,,,,,,,,,,,,,,
A1_convexity_concentration,|bar return| > 1.00%,whole,,,,-10.409751304121748,47.0,0.0060372511239563265,0.03085507832073043,,,,,,,,,,,,,,,,,,,,
A1_convexity_concentration,all bars,whole,,,,-337.37562406794495,7785.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
A1_convexity_concentration,|bar return| > 0.25%,daily_era,,,,-105.76368310650491,701.0,0.15928198136787095,0.5345663847576374,,,,,,,,,,,,,,,,,,,,
A1_convexity_concentration,|bar return| > 0.50%,daily_era,,,,-37.18267406946718,128.0,0.02908429902294933,0.18793414780119477,,,,,,,,,,,,,,,,,,,,
