book,sample,n,mean,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,exit_clock,variant,hours_held,mean_per_hour,sat_away_premium
"exit 13:00, crossed",whole,865,0.0049247059884029954,0.19776843342793132,0.3952970784947727,0.7323714198067132,-8.427107423133913,-1.2748557025943703,2021-11-22,13:00,crossed,2.0,0.0024623529942014977,0.040983134146335226
"exit 13:00, crossed",daily_era,489,0.01078092252460729,0.18977266850156752,0.9018255409228199,1.2562517800058464,-3.2025213140547817,-1.2602443013738964,2022-10-13,13:00,crossed,2.0,0.005390461262303645,0.04251240116619215
"exit 13:00, mid",whole,865,0.03674100610124498,0.19415476871783655,3.004022997863275,5.5655877762988295,-3.226693916301322,-1.230603083288381,2022-10-13,13:00,mid,2.0,0.01837050305062249,0.048138524855037695
"exit 13:00, mid",daily_era,489,0.03403891286962262,0.18720533266833603,2.8864081081996855,4.020794665050952,-1.6476754927246522,-1.230603083288381,2022-10-13,13:00,mid,2.0,0.01701945643481131,0.046876697810819094
"exit 13:30, crossed",whole,865,0.00899039194578318,0.2241422192168073,0.6367298769679558,1.179676727700739,-9.800483614133595,-1.2530314885099645,2022-10-13,13:30,crossed,2.5,0.003596156778313272,0.03691744818895504
"exit 13:30, crossed",daily_era,489,0.009729552878383969,0.22452262214978275,0.6879122567938944,0.9582684874957742,-4.6009123929447595,-1.2530314885099645,2022-10-13,13:30,crossed,2.5,0.0038918211513535874,0.04356377081241547
"exit 13:30, mid",whole,865,0.04086290267588623,0.2209629526369489,2.9356888212730827,5.438984265538647,-4.169790373091679,-1.2265104662063488,2022-10-13,13:30,mid,2.5,0.01634516107035449,0.044016628280396444
"exit 13:30, mid",daily_era,489,0.03358226180905736,0.2221375478355319,2.399872891608894,3.3430463599272446,-3.338862559399052,-1.2265104662063488,2022-10-13,13:30,mid,2.5,0.013432904723622944,0.04733334887138436
"exit 14:00, crossed",whole,865,0.007234871293978133,0.2416827620911995,0.47520981750952684,0.8804266656378629,-13.126076648942377,-1.2577545869035844,2022-10-13,14:00,crossed,3.0,0.002411623764659378,0.03867296884076009
"exit 14:00, crossed",daily_era,489,0.015377373831708948,0.24301855673001127,1.004483958511222,1.39925595761657,-5.345851145240836,-1.2577545869035844,2022-10-13,14:00,crossed,3.0,0.005125791277236316,0.037915949859090484
"exit 14:00, mid",whole,865,0.04726538454492649,0.23532828577567189,3.1883745563910235,5.907138017896005,-4.585786814035565,-1.2312335643675012,2022-10-13,14:00,mid,3.0,0.015755128181642163,0.03761414641135618
