model,mean_R_top,mean_R_bottom,diff,t_diff,n_top,n_bottom
HAR + calendar OLS,-0.011644812063228012,-0.09799277505698448,0.08634796299375683,1.0816724369847854,271,255
block-diag ridge,-0.027421642634541898,-0.07885865680548379,0.05143701417094172,0.584912217721952,262,240
LightGBM,-0.04272135627901638,-0.09172015766472066,0.04899880138570394,0.6190862451629541,297,232
XGBoost,-0.019065208779098793,-0.09126710301206123,0.07220189423296204,0.9227912144305327,292,237
lasso (causally tuned),-0.02105809178958306,-0.12550370486388357,0.10444561307430054,1.3110214770552358,282,211
lasso (fixed 1e-4),-0.02313402246880584,-0.06831769639620067,0.045183673927394655,0.5553532622733578,257,229
elastic net (causally tuned),-0.06094073059496063,-0.08246379311744827,0.021523062522487146,0.2692097921232995,281,217
