rule,model,book,n,vol_CV,vol_max,vol_min,maxDD,worst_day,skew,ex_kurt,mean,std,Sharpe_ann
always short,a0,raw,807.0,0.21718488507358205,1.6219547049509866,0.6454262551450799,-18.29450247410443,-10.31604850795286,-2.2865310983340152,10.913301999268405,0.030272964887950043,1.1135323203874998,0.4315711456721823
always short,a0,scaled,807.0,0.18745862656459752,1.6645602439828315,0.5384537212113516,-16.967793288761946,-11.258559990272525,-2.5523537950655975,15.554156051287368,0.04090335249069127,1.093471012035313,0.5938160076749539
long-short volatility,a0,raw,807.0,0.21261807264738006,1.6152850533534309,0.6592345625944512,-13.648585381769387,-5.422480279928936,0.31739194619351063,10.664429262848433,0.07865767245395419,1.1111602550205542,1.1237369537654434
long-short volatility,a0,scaled,807.0,0.1781791864360046,1.6211328651490677,0.5401176968254848,-13.027119429074311,-5.481867552473906,0.5566958797641077,14.145617106487535,0.08063851268904196,1.0865224260919382,1.178159486887269
always short,blk2,raw,807.0,0.21718488507358205,1.6219547049509866,0.6454262551450799,-18.29450247410443,-10.31604850795286,-2.2865310983340152,10.913301999268405,0.030272964887950043,1.1135323203874998,0.4315711456721823
always short,blk2,scaled,807.0,0.18745862656459752,1.6645602439828315,0.5384537212113516,-16.967793288761946,-11.258559990272525,-2.5523537950655975,15.554156051287368,0.04090335249069127,1.093471012035313,0.5938160076749539
long-short volatility,blk2,raw,807.0,0.21207302536129438,1.603224396885659,0.6665000215214313,-12.519637976509472,-5.422480279928936,0.7666501472506979,10.591921999463196,0.13505186325488663,1.1057170448086462,1.938906409804879
long-short volatility,blk2,scaled,807.0,0.16923218876974194,1.5362582814928802,0.535102295566418,-12.022375464219323,-5.436068448730954,0.8471577134742151,12.83908816035924,0.13245188645649017,1.059791790804821,1.9839826385847656
always short,lgbm,raw,807.0,0.21718488507358205,1.6219547049509866,0.6454262551450799,-18.29450247410443,-10.31604850795286,-2.2865310983340152,10.913301999268405,0.030272964887950043,1.1135323203874998,0.4315711456721823
always short,lgbm,scaled,807.0,0.18745862656459752,1.6645602439828315,0.5384537212113516,-16.967793288761946,-11.258559990272525,-2.5523537950655975,15.554156051287368,0.04090335249069127,1.093471012035313,0.5938160076749539
long-short volatility,lgbm,raw,807.0,0.20944927151618276,1.5929723177657356,0.6599320529929749,-17.546869826716105,-5.422480279928936,0.7393121626955705,10.563994767256617,0.1101750231408918,1.1084756298837974,1.5778193262695934
long-short volatility,lgbm,scaled,807.0,0.17702547708088198,1.5968020040431368,0.541647048657014,-16.64159110798188,-5.4891637564444675,0.9637441647741182,14.734473138486297,0.10759458328845548,1.0782155733711387,1.58410906035518
always short,xgb,raw,807.0,0.21718488507358205,1.6219547049509866,0.6454262551450799,-18.29450247410443,-10.31604850795286,-2.2865310983340152,10.913301999268405,0.030272964887950043,1.1135323203874998,0.4315711456721823
always short,xgb,scaled,807.0,0.18745862656459752,1.6645602439828315,0.5384537212113516,-16.967793288761946,-11.258559990272525,-2.5523537950655975,15.554156051287368,0.04090335249069127,1.093471012035313,0.5938160076749539
long-short volatility,xgb,raw,807.0,0.2087998839315657,1.5939307010226627,0.6664674749354563,-15.294385605827244,-5.422480279928936,0.6591645891819475,10.58551890573804,0.10237663294679182,1.1092239806837216,1.4651492334725427
long-short volatility,xgb,scaled,807.0,0.1768011223894306,1.6000090909012297,0.5438551156185514,-14.850398700075175,-5.472336833221034,0.9258633135596019,14.717170868336826,0.10004697207183726,1.0812411341353936,1.468864247781902
always short,lasso_t,raw,807.0,0.21718488507358205,1.6219547049509866,0.6454262551450799,-18.29450247410443,-10.31604850795286,-2.2865310983340152,10.913301999268405,0.030272964887950043,1.1135323203874998,0.4315711456721823
always short,lasso_t,scaled,807.0,0.18745862656459752,1.6645602439828315,0.5384537212113516,-16.967793288761946,-11.258559990272525,-2.5523537950655975,15.554156051287368,0.04090335249069127,1.093471012035313,0.5938160076749539
long-short volatility,lasso_t,raw,807.0,0.2107099017268246,1.6044154962738777,0.665752511357551,-11.722496235934347,-5.422480279928936,0.740779348232179,10.599973365957654,0.1328223655920982,1.105987409115224,1.906431908759911
long-short volatility,lasso_t,scaled,807.0,0.17500722942422453,1.5766858682876421,0.5351346955690185,-10.881270051934273,-5.448723725176156,0.9254790044055744,14.137882159056321,0.12881669754446498,1.0694339757429432,1.9121345729371158
always short,lasso_f,raw,807.0,0.21718488507358205,1.6219547049509866,0.6454262551450799,-18.29450247410443,-10.31604850795286,-2.2865310983340152,10.913301999268405,0.030272964887950043,1.1135323203874998,0.4315711456721823
always short,lasso_f,scaled,807.0,0.18745862656459752,1.6645602439828315,0.5384537212113516,-16.967793288761946,-11.258559990272525,-2.5523537950655975,15.554156051287368,0.04090335249069127,1.093471012035313,0.5938160076749539
long-short volatility,lasso_f,raw,807.0,0.2133441978675115,1.612944286375238,0.66641081264951,-10.671124594657641,-5.422480279928936,1.140311293218598,10.42358507338397,0.150842078456191,1.103671262384856,2.1696168439330634
long-short volatility,lasso_f,scaled,807.0,0.16892098982876483,1.5244200486814992,0.5279031807217192,-8.863629216505842,-5.452622207924755,1.1237933074174293,12.356221370729397,0.14493853249123648,1.050664301195178,2.189879176019881
always short,enet,raw,807.0,0.21718488507358205,1.6219547049509866,0.6454262551450799,-18.29450247410443,-10.31604850795286,-2.2865310983340152,10.913301999268405,0.030272964887950043,1.1135323203874998,0.4315711456721823
always short,enet,scaled,807.0,0.18745862656459752,1.6645602439828315,0.5384537212113516,-16.967793288761946,-11.258559990272525,-2.5523537950655975,15.554156051287368,0.04090335249069127,1.093471012035313,0.5938160076749539
long-short volatility,enet,raw,807.0,0.20925174197205135,1.6066308403993346,0.6650509746108668,-10.278595222786038,-5.422480279928936,0.7343956266482228,10.567854629085621,0.11170022699777529,1.1083227856548465,1.5998824125101614
long-short volatility,enet,scaled,807.0,0.17842621266609782,1.6087814839045163,0.5406985023134311,-10.44030656581753,-5.4553174867694185,0.9380961861192209,14.57344824424326,0.10584875356675415,1.0790474292980277,1.5572039055186568
