,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
baseline (HAR + calendar OLS),866.0,0.09561769370834314,1.056309302883496,-4.626674107142857,-0.47955296296966143,0.0066288003582452015,0.8335741542234052,10.31604850795286,0.9573003998191211,13.096539814239462,2.663827547091142,1.4369691025113889,268.0,30.94688221709007
block-diagonal ridge,866.0,0.1184078097120922,1.053995274366643,-4.626674107142857,-0.5753151939655172,0.0,0.823763938540377,10.31604850795286,1.3832506418621187,12.938882544415414,3.305983106366749,1.7833720439077283,327.0,37.75981524249423
"block-diagonal ridge, without the FOMC columns",866.0,0.11238020379373768,1.0546557475264007,-4.626674107142857,-0.586925078770806,0.0,0.814283163156044,10.31604850795286,1.4855283103416759,12.893260194857113,3.135725498839367,1.6915286654759984,339.0,39.14549653579677
LightGBM,866.0,0.10751409817354905,1.0551634999926551,-3.852339562773788,-0.48870074751967385,0.0,0.8292827557834506,10.31604850795286,1.352415352085315,12.949549698014827,2.9985037937800674,1.6175060994959052,269.0,31.062355658198616
XGBoost,866.0,0.12106429781474767,1.0536930995994858,-3.852339562773788,-0.4756751000716235,0.00532770140114347,0.842930956915066,10.31604850795286,1.3182604052754696,12.97028330901857,3.3811224352065867,1.8239050333815379,258.0,29.792147806004618
lasso (causally tuned),866.0,0.11808660251981604,1.0540313514847033,-6.83603367783646,-0.48870074751967385,0.002053803994219061,0.8486041448223827,10.31604850795286,0.7421344262517756,13.227375576741801,3.2969020516364296,1.7784733802986918,301.0,34.75750577367206
lasso (fixed 1e-4),866.0,0.1216375929085511,1.0536269963725775,-3.8332868440755403,-0.5886543690198314,0.0,0.814283163156044,10.31604850795286,1.6726254185585405,12.80637632364971,3.3973467358423313,1.8326570333932801,338.0,39.030023094688225
elastic net (causally tuned),866.0,0.08786261189269633,1.0569833930182344,-6.83603367783646,-0.5184783953456654,0.0,0.8292827557834506,10.31604850795286,0.7302299544040564,13.166552792437992,2.4462165018578634,1.3195814928266352,287.0,33.14087759815242
per-bar ridge (HAR + calendar),866.0,0.07947198597082365,1.057648125938281,-4.1773563109878085,-0.49677377265658007,0.0,0.8281975126105701,10.31604850795286,1.097888980046438,13.045273286980796,2.211219256550428,1.1928151107270057,293.0,33.8337182448037
per-bar ridge (all features),866.0,0.13259110881131997,1.052303155014598,-3.529633620689655,-0.4935078767919568,0.013952547278407001,0.8312191925029837,10.31604850795286,1.5537650077155207,12.864209932223826,3.707938104451038,2.0002017382615818,297.0,34.29561200923788
per-bar lasso (all features),866.0,0.11181594962537711,1.0547157890405932,-3.852339562773788,-0.5036057646223756,0.002053803994219061,0.823763938540377,10.31604850795286,1.3815410661716552,12.937707323980263,3.1198036015143304,1.682939793221704,303.0,34.98845265588915
per-bar elastic net (all features),866.0,0.1182492835179589,1.0540130919998196,-3.852339562773788,-0.4935078767919568,0.00532770140114347,0.823763938540377,10.31604850795286,1.3818885560547185,12.939424863117242,3.3015011940250125,1.7809543312587721,308.0,35.56581986143187
per-bar ridge (live-feasible set),866.0,0.13082611268823585,1.0525242980188818,-4.2548636396498605,-0.5036057646223756,0.0,0.8387161971321472,10.31604850795286,1.4074761189380753,12.93642646703979,3.6578109243521353,1.973161245690355,327.0,37.75981524249423
per-bar lasso (live-feasible set),866.0,0.11612242893460852,1.054249803855336,-4.2548636396498605,-0.5144634276056435,0.00532770140114347,0.8228423576020054,10.31604850795286,1.3802042723321701,12.93932054668357,3.241391795555136,1.7485290534039508,304.0,35.10392609699769
per-bar elastic net (live-feasible set),866.0,0.12988715159056993,1.052640717689695,-4.2548636396498605,-0.48721684360985623,0.011936643260549884,0.8312191925029837,10.31604850795286,1.329912700995328,12.973966023663884,3.631156555730533,1.958782873412459,309.0,35.68129330254042
