,mean-s then sign,majority vote,EW unit-median q,trail-Sharpe um q,trail-IR um q,blk2 0.5 AS + 0.5 UM,blk2 EW 3 rules,blk2 unit-median (bench),blk2 long-short,always short,spectral PC1 sign,spectral PC1 unit-median,PCR k=1 sign,PCR k=2 sign
2020-01-03,-0.9412147660576085,-0.9412147660576085,-0.9412147660576085,-0.9412147660576082,-0.9412147660576082,-0.0,-0.31373825535253613,-0.9412147660576085,-0.9412147660576085,0.9412147660576085,-0.9412147660576085,-0.9412147660576085,-0.9412147660576085,-0.9412147660576085
2020-01-06,-0.2242246923811151,-0.2242246923811151,-0.16016049455793935,-0.16016049455793932,-0.16016049455793932,-0.0,-0.07474156412703836,-0.2242246923811151,-0.2242246923811151,0.2242246923811151,-0.2242246923811151,-0.2242246923811151,-0.2242246923811151,-0.2242246923811151
2020-01-08,6.83603367783646,6.83603367783646,2.9297287190727683,2.9297287190727683,2.9297287190727683,0.0,2.278677892612153,6.83603367783646,6.83603367783646,-6.83603367783646,6.83603367783646,6.83603367783646,6.83603367783646,6.83603367783646
2020-01-10,-1.0,-1.0,-0.42857142857142855,-0.42857142857142855,-0.42857142857142855,-0.0,-0.3333333333333333,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2020-01-13,-1.5550063278235937,-1.5550063278235937,-1.5550063278235937,-1.5550063278235933,-1.5550063278235933,-1.5550063278235937,-1.5550063278235937,-1.5550063278235937,-1.5550063278235937,-1.5550063278235937,-1.5550063278235937,-1.5550063278235937,-1.5550063278235937,-1.5550063278235937
2020-01-15,0.6343005581287984,0.6343005581287984,0.6343005581287984,0.6343005581287983,0.6343005581287983,0.0,0.21143351937626612,0.6343005581287984,0.6343005581287984,-0.6343005581287984,0.6343005581287984,0.6343005581287984,0.6343005581287984,0.6343005581287984
2020-01-17,-0.9871471876080173,-0.9871471876080173,-0.9871471876080173,-0.9871471876080171,-0.9871471876080171,-0.9871471876080173,-0.9871471876080173,-0.9871471876080173,-0.9871471876080173,-0.9871471876080173,-0.9871471876080173,-0.9871471876080173,-0.9871471876080173,-0.9871471876080173
2020-01-21,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-0.0,-0.3333333333333333,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2020-01-22,-1.0,-1.0,-0.7142857142857143,-0.7142857142857142,-0.7142857142857142,-0.0,-0.3333333333333333,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2020-01-24,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-27,-0.3553441030727158,-0.3553441030727158,-0.3553441030727158,-0.35534410307271574,-0.35534410307271574,-0.3553441030727158,-0.3553441030727158,-0.3553441030727158,-0.3553441030727158,-0.3553441030727158,-0.3553441030727158,-0.3553441030727158,-0.3553441030727158,-0.3553441030727158
2020-01-29,0.5714518496783321,0.5714518496783321,0.5714518496783321,0.571451849678332,0.571451849678332,0.0,0.19048394989277734,0.5714518496783321,0.5714518496783321,-0.5714518496783321,0.5714518496783321,0.5714518496783321,0.5714518496783321,0.5714518496783321
2020-01-31,0.9337554729213287,0.9337554729213287,0.9337554729213287,0.9337554729213284,0.9337554729213284,0.9337554729213287,0.9337554729213287,0.9337554729213287,0.9337554729213287,0.9337554729213287,0.9337554729213287,0.9337554729213287,0.9337554729213287,0.9337554729213287
2020-02-03,1.191019162968637,1.191019162968637,1.191019162968637,1.1910191629686369,1.1910191629686369,0.0,0.3970063876562123,1.191019162968637,1.191019162968637,-1.191019162968637,1.191019162968637,1.191019162968637,1.191019162968637,1.191019162968637
2020-02-05,-1.0,-1.0,-0.7142857142857143,-0.7142857142857142,-0.7142857142857142,-0.0,-0.3333333333333333,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2020-02-07,1.0,-1.0,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,-0.0,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
2020-02-10,0.12977726001566658,0.12977726001566658,0.055618825720999965,0.055618825720999965,0.055618825720999965,0.0,0.04325908667188886,0.12977726001566658,0.12977726001566658,-0.12977726001566658,0.12977726001566658,0.12977726001566658,0.12977726001566658,0.12977726001566658
2020-02-12,-1.0,-1.0,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,-0.0,-0.3333333333333333,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2020-02-14,-1.2193170476693855,-1.2193170476693855,-1.2193170476693855,-1.2193170476693853,-1.2193170476693853,-1.2193170476693855,-1.2193170476693855,-1.2193170476693855,-1.2193170476693855,-1.2193170476693855,-1.2193170476693855,-1.2193170476693855,-1.2193170476693855,-1.2193170476693855
2020-02-18,-1.0,-1.0,-0.42857142857142855,-0.42857142857142855,-0.42857142857142855,-0.0,-0.3333333333333333,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2020-02-19,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.0,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
