,PC1,PC2
HAR + calendar OLS,0.15188901855565307,0.26328674692046944
block-diag ridge,0.41390193420858923,-0.2705034007469459
LightGBM,0.38406309423461993,0.5017243713916427
XGBoost,0.3534160435541932,0.614511253259157
lasso (causally tuned),0.40971117135334395,-0.3143081455148516
lasso (fixed 1e-4),0.415589624393162,-0.30926333113940196
elastic net (causally tuned),0.4388958587991463,-0.18363865476928046
