,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
always short,871.0,0.020132472943937295,1.1268340048342713,-10.31604850795286,-0.4435358568488702,0.32893453154561647,0.931262653135382,1.0,-2.3143220828599675,10.899722145931872,0.5272860203432714,0.2836203901792714,0.0,0.0
long-short volatility,871.0,0.08048651888357654,1.1241330575194535,-6.83603367783646,-0.6596958371296968,0.14666193181818177,0.9128977879794586,10.31604850795286,0.43899504007809564,10.710776416707319,2.1130730072799686,1.1365948795909107,303.0,34.78760045924225
