,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
rank-|s|,866.0,0.10969238446634252,1.0604229340276285,-5.556182939998845,-0.11530269164881153,0.0,0.44224097570504506,8.60642978199644,0.5298162916131121,9.9118210266315,3.044081750162262,1.6420925691224182,163.0,18.82217090069284
inv-vol of R,866.0,0.10718957462181793,1.1347415046500038,-5.47581968541573,-0.6314281372333732,0.1975417304076857,0.904970342644664,10.506060261259694,0.9356485837202272,10.871858745782157,2.7798064188111615,1.4995324825574385,279.0,32.21709006928406
sign(s),866.0,0.10594725000806358,1.1227129996695757,-5.42248033384579,-0.626718645323821,0.1993128359433204,0.9081781504213013,10.31604850795286,0.9117461589121924,10.61626011305847,2.777025599722084,1.4980324038023247,279.0,32.21709006928406
always short,866.0,0.014475039378387317,1.127613633781145,-10.31604850795286,-0.4486032431083699,0.3273560003007652,0.9281034350714721,1.0,-2.311620992396751,10.891894305940426,0.37776209796508636,0.2037791310734338,0.0,0.0
