body,side,scope,n,mean,t,share_of_total
straddle,call,all,871.0,0.00805459962945518,0.6108696600866996,0.5127545103963244
straddle,call,worst-decile,88.0,-0.3017637139176202,-3.23979054611091,0.38906997592562453
straddle,put,all,871.0,0.007653891405035228,0.5378287144427188,0.4872454896036756
straddle,put,worst-decile,88.0,-0.47383896063906666,-5.014138801776537,0.6109300240743754
strangle,call,all,871.0,0.005959145479697386,0.5534104387357721,0.4839117377907281
strangle,call,worst-decile,88.0,-0.29880489398502585,-3.787883002773923,0.41180107530895677
strangle,put,all,871.0,0.0063553842461231335,0.5275307957273774,0.516088262209272
strangle,put,worst-decile,88.0,-0.4268000446636781,-5.02589292969042,0.5881989246910433
