flag,rule,n,mean,Sharpe_ann,vol_ann,worst_day,maxDD_pts,ex_kurt,flagged_days,flagged_sell_days
top tercile of rank(s_{t-1}) [primary],reference sign(s),866.0,0.10594725000806358,1.4980324038023247,17.822516344950238,-5.42248033384579,-13.22193816055011,10.61626011305847,295.0,156.0
top tercile of rank(s_{t-1}) [primary],A: flat on flagged days,866.0,0.072260369975897,1.2643755254740585,14.40206083323119,-5.42248033384579,-12.100819228298409,24.737152995603555,295.0,156.0
top tercile of rank(s_{t-1}) [primary],B: flat on flagged days only when selling,866.0,0.08394612001209077,1.2895449238790804,16.404564006511887,-5.42248033384579,-15.02635316489976,15.087779206923623,295.0,156.0
top tercile of rank(s_{t-1}) [primary],reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,295.0,156.0
top tercile of rank(s_{t-1}) [primary],A on always-short,866.0,0.004159659418608293,0.07255434694531421,14.447572304377111,-10.31604850795286,-22.353172311509997,25.020827089826067,295.0,156.0
bottom tercile of rank(s_{t-1}),reference sign(s),866.0,0.10594725000806358,1.4980324038023247,17.822516344950238,-5.42248033384579,-13.22193816055011,10.61626011305847,244.0,199.0
bottom tercile of rank(s_{t-1}),A: flat on flagged days,866.0,0.07575908609982614,1.1683513544909134,16.34036681155289,-5.42248033384579,-15.835988392369998,15.787402726123153,244.0,199.0
bottom tercile of rank(s_{t-1}),B: flat on flagged days only when selling,866.0,0.07829786897664413,1.1767488895434126,16.767437095071426,-5.42248033384579,-13.219381392367083,14.135057130187425,244.0,199.0
bottom tercile of rank(s_{t-1}),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,244.0,199.0
bottom tercile of rank(s_{t-1}),A on always-short,866.0,-0.01063555877621411,-0.16358659213228124,16.383743781633978,-10.31604850795286,-20.44274334894642,15.897301825779943,244.0,199.0
top tercile of rank(|s_{t-1}|),reference sign(s),866.0,0.10594725000806358,1.4980324038023247,17.822516344950238,-5.42248033384579,-13.22193816055011,10.61626011305847,181.0,141.0
top tercile of rank(|s_{t-1}|),A: flat on flagged days,866.0,0.08661832017770335,1.2937066156499804,16.872308157606952,-5.42248033384579,-17.074971690719238,13.742364876097737,181.0,141.0
top tercile of rank(|s_{t-1}|),B: flat on flagged days only when selling,866.0,0.08529629729774493,1.2542003984017296,17.138143909396867,-5.42248033384579,-13.91465268210024,12.805112206852348,181.0,141.0
top tercile of rank(|s_{t-1}|),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,181.0,141.0
top tercile of rank(|s_{t-1}|),A on always-short,866.0,-0.007497936211889716,-0.1116193382739042,16.927890405151732,-10.31604850795286,-23.115079836941337,13.869975268990105,181.0,141.0
