,a0,blk2,lgbm,xgb,lasso_t,lasso_f,enet
2020-05-22,0.13709220253427165,0.4131814675232335,0.37849912697433685,0.3425766544276969,0.4171170527334943,0.41754177676813936,0.44893059440482486
2020-07-08,0.1405568818732121,0.41367670081785035,0.3794139204910497,0.34514802598020516,0.41534379891620005,0.4172690713834914,0.44655270464608715
2020-08-26,0.14167969000950148,0.4140312614063345,0.3797907855806082,0.3462229521802878,0.4144991668879226,0.41722711679480645,0.445539650591317
2020-10-14,0.14224506319645996,0.4142756605690314,0.3799581941784775,0.3468185938655626,0.4140177444320216,0.41724718634248303,0.4449547678885737
2020-12-02,0.14327188386293727,0.4144780922054855,0.3801670240249985,0.3474796514575748,0.41349977895272916,0.4172006171688735,0.44426746660420746
2021-01-20,0.1442750934666281,0.4144743055350787,0.38039957473484315,0.34797493313544786,0.4131714512201654,0.4170630488717031,0.44379400860061535
2021-03-10,0.14493629043522854,0.41462386266524476,0.38045229072924047,0.34816728780613804,0.41290785737316854,0.4171409306103987,0.44341477617802627
2021-04-28,0.14528882433253565,0.4147004775901292,0.38053282778910813,0.34839966839752295,0.4127131005505915,0.41715231831750277,0.44314664548223714
2021-06-16,0.14552708857885424,0.4147794421657398,0.3805884647608004,0.3485736758987507,0.4125519786883753,0.41716259699194486,0.4429502526911258
2021-08-04,0.145689145804015,0.41484151208094733,0.3806341111496043,0.3487129781340723,0.4124274385703389,0.41717131316167605,0.4427977284819537
2021-09-20,0.1458054340328938,0.41489546470179184,0.3806692745855853,0.3488171029912225,0.4123256502155731,0.417182603992039,0.4426808036547157
2021-11-05,0.14596688074034508,0.41494202121036716,0.38071556515212557,0.3489262118004244,0.41222511317017074,0.417183526868701,0.44255090883594794
2021-12-23,0.14626216912585716,0.41498196620151306,0.38072161225484213,0.3490093074642181,0.41213752047728125,0.4171701501868909,0.44243941153951377
2022-02-11,0.14661070435369372,0.41367675775728097,0.3834799050107963,0.35216651937964527,0.4110334897723232,0.41592058154546824,0.4408631155741421
2022-03-31,0.14722876360609122,0.4135796799270528,0.38371619064519596,0.35254501667385657,0.4108058735724893,0.4158009474673025,0.44056502595787755
2022-05-11,0.14813482539307823,0.4136316763957567,0.3837764593041635,0.3526867060061324,0.41061763303836063,0.4156972728840223,0.4403198419706559
2022-06-13,0.14863270063524947,0.4136394555250986,0.3837704221794094,0.35268485464548355,0.4105695792608187,0.4156738656388616,0.44021839524166195
2022-07-14,0.14960535266943706,0.41380469893549,0.38386090407341567,0.3527498291268898,0.41027667398171125,0.41569704898187404,0.4398537122961664
2022-08-12,0.14969900829094707,0.4138525282446358,0.3838442806587057,0.35278213956668975,0.4102330056723514,0.4157152108490173,0.4397890022685476
2022-09-13,0.14989147263985972,0.413887935541679,0.38387469387123085,0.3528686224897144,0.4101435198367417,0.4157250360488668,0.43966835847997765
2022-10-12,0.15121666679235427,0.4138485723335328,0.38399713295529747,0.3531486288067533,0.40987961602388984,0.4156542390940478,0.4392327180515876
2022-11-10,0.151292228287609,0.41376634804052237,0.38410068989369184,0.3532793180894343,0.4098796048886955,0.415571402995427,0.4391669077140641
2022-12-12,0.1513495774525455,0.4137677705985837,0.38413031363660277,0.3533432009724592,0.4098460764555157,0.41555119562541903,0.43911891250445917
2023-01-12,0.15153631718773147,0.41379839526186235,0.3841070733204246,0.3533668269993216,0.4097999998666759,0.4155659338272987,0.4390560205771619
2023-02-13,0.15168657026985533,0.4138147903472441,0.38409458491146253,0.353383073095503,0.4097713365368441,0.4155714947260848,0.43900802009170653
2023-03-15,0.15171820443414072,0.41381097520589416,0.384089885599052,0.3533904688174338,0.4097836955638337,0.41554926148593335,0.4390083526545613
2023-04-14,0.1517577164641794,0.41385642572353665,0.3840488742295443,0.3533633044403738,0.4097740696555802,0.41557514903114473,0.4389940762750237
2023-05-15,0.15180256698761288,0.4138721902749716,0.3840364008551547,0.35333191139633496,0.40977429216832945,0.41559011623060566,0.4389855108651962
2023-06-14,0.15180956027892822,0.4138761054050618,0.3840389575770417,0.35334653932977933,0.4097665474438809,0.4155879842184167,0.43897463817247917
2023-07-17,0.15181493396655849,0.4138783234290261,0.38404393005944704,0.3533582848898811,0.40976061502276534,0.41558665298346364,0.43896368157588034
2023-08-15,0.15182157584502115,0.41387628990219294,0.38405503217310677,0.35337101065165866,0.4097533623490034,0.41558146220920006,0.4389550286419091
2023-09-14,0.15181467122534642,0.413878737292951,0.3840569346698177,0.3533751408002612,0.40975091097300065,0.41558128582693654,0.43895257493398704
2023-10-13,0.15182075655344446,0.4138838364117978,0.38405677623629264,0.35337934003948834,0.4097471196413867,0.41558395776195756,0.43894342971882894
2023-11-13,0.15182624101203718,0.4138866928082042,0.38405671086923465,0.3533831948270193,0.4097430520617202,0.4155842762987876,0.43893928861171183
2023-12-13,0.15183823809427283,0.4138895335796763,0.38405733599494035,0.3533908225224257,0.4097386046149535,0.41558571644470127,0.43892856007140096
2024-01-16,0.15185408124204572,0.41389244712986983,0.38405861636388927,0.35339699588460505,0.40973378875502053,0.4155864469981025,0.4389180449005525
2024-02-14,0.15185367724775456,0.41389271105811176,0.384060754727515,0.353404260565696,0.4097294881174569,0.415585930296481,0.43891471932262754
2024-03-15,0.15185661089518315,0.4138928863683484,0.3840609842805476,0.3534061286879263,0.40972805077097507,0.4155863082225374,0.4389128179146239
2024-04-16,0.1518914943780637,0.41390072402861033,0.38406305137192914,0.3534162320845034,0.40971247323238014,0.4155896068325448,0.43889483025531706
