model,w,Sharpe_hedged,Sharpe_plain,dSharpe,HAC_t_diff,worst_hedged,worst_plain
baseline (HAR + calendar OLS),25,0.7730371975129164,1.0197706690535748,-0.2467334715406584,-3.033894077286037,-5.4365648414053425,-5.42248033384579
baseline (HAR + calendar OLS),50,0.9345209023205512,1.0197706690535748,-0.08524976673302365,-2.5328471676438475,-5.4365648414053425,-5.42248033384579
block-diagonal ridge,25,1.2425145600980927,1.4179001798837385,-0.17538561978564582,-2.1707256734657343,-5.4365648414053425,-5.42248033384579
block-diagonal ridge,50,1.3607704954865005,1.4179001798837385,-0.05712968439723798,-1.7636875324329584,-5.4365648414053425,-5.42248033384579
LightGBM,25,1.2454489289851849,1.5503686505838374,-0.30491972159865255,-4.710745978741004,-5.4365648414053425,-5.42248033384579
LightGBM,50,1.4428574995894077,1.5503686505838374,-0.10751115099442976,-4.110146179645204,-5.4365648414053425,-5.42248033384579
XGBoost,25,1.1141762133513495,1.4366422635858098,-0.3224660502344603,-5.637447916303679,-5.4365648414053425,-5.42248033384579
XGBoost,50,1.33151043108751,1.4366422635858098,-0.10513183249829972,-3.5864342002578997,-5.4365648414053425,-5.42248033384579
lasso (causally tuned),25,1.1295373613105226,1.3517287840284524,-0.2221914227179298,-2.761006780804917,-6.8688205640835145,-6.83603367783646
lasso (causally tuned),50,1.2759788175388826,1.3517287840284524,-0.07574996648956978,-2.4004005190223916,-6.8688205640835145,-6.83603367783646
lasso (fixed 1e-4),25,1.3984103838837747,1.5740224995062528,-0.17561211562247814,-2.178710719108489,-5.4365648414053425,-5.42248033384579
lasso (fixed 1e-4),50,1.522683209676424,1.5740224995062528,-0.05133928982982883,-1.6341271359612524,-5.4365648414053425,-5.42248033384579
elastic net (causally tuned),25,0.8345045504885218,1.0860459280634447,-0.2515413775749229,-3.2264916782700044,-6.8688205640835145,-6.83603367783646
elastic net (causally tuned),50,1.0031344854447883,1.0860459280634447,-0.08291144261865635,-2.6523624122554548,-6.8688205640835145,-6.83603367783646
