model,body,rule,frame,mean,Sharpe,worst_day,maxDD,n,premium_median,pin_share
HAR + calendar OLS,strangle (nearest OTM pair),always short,per premium,0.020132472943937295,0.2836203901792714,-10.31604850795286,-18.294502474104466,871.0,5.3500001430511475,0.22732491389207807
HAR + calendar OLS,strangle (nearest OTM pair),always short,per time value,0.020132472943937295,0.2836203901792714,-10.31604850795286,-18.294502474104466,871.0,5.3500001430511475,0.22732491389207807
HAR + calendar OLS,strangle (nearest OTM pair),always short,index points,0.021117346934401073,0.042509616860638616,-78.3700180053711,-328.769094010815,871.0,5.3500001430511475,0.22732491389207807
HAR + calendar OLS,strangle (nearest OTM pair),long-short volatility,per premium,0.0706309881361485,0.9968315256631581,-5.422480279928936,-13.648585381769394,871.0,5.3500001430511475,0.22732491389207807
HAR + calendar OLS,strangle (nearest OTM pair),long-short volatility,per time value,0.0706309881361485,0.9968315256631581,-5.422480279928936,-13.648585381769394,871.0,5.3500001430511475,0.22732491389207807
HAR + calendar OLS,strangle (nearest OTM pair),long-short volatility,index points,0.3499152947679145,0.7050787923782097,-78.3700180053711,-157.78002798557281,871.0,5.3500001430511475,0.22732491389207807
HAR + calendar OLS,straddle (same strike),always short,per premium,0.025267496699798386,0.5046952363476019,-5.617867718728402,-19.414114701305042,871.0,7.674999713897705,0.0
HAR + calendar OLS,straddle (same strike),always short,per time value,0.02818325685910362,0.4380485406906149,-8.235154503405138,-25.495644001998564,871.0,7.674999713897705,0.0
HAR + calendar OLS,straddle (same strike),always short,index points,0.13092150042169268,0.2565821686686096,-80.02001953125,-351.07093596458435,871.0,7.674999713897705,0.0
HAR + calendar OLS,straddle (same strike),long-short volatility,per premium,0.04973113189107613,0.9947815774540447,-3.2254675580737295,-11.207261522042398,871.0,7.674999713897705,0.0
HAR + calendar OLS,straddle (same strike),long-short volatility,per time value,0.07321299795426221,1.140441206704864,-4.089138299557686,-14.133290604936828,871.0,7.674999713897705,0.0
HAR + calendar OLS,straddle (same strike),long-short volatility,index points,0.39409489226532857,0.7731693173911943,-80.02001953125,-163.4252438545227,871.0,7.674999713897705,0.0
block-diag ridge,strangle (nearest OTM pair),always short,per premium,0.020132472943937295,0.2836203901792714,-10.31604850795286,-18.294502474104466,871.0,5.3500001430511475,0.22732491389207807
block-diag ridge,strangle (nearest OTM pair),always short,per time value,0.020132472943937295,0.2836203901792714,-10.31604850795286,-18.294502474104466,871.0,5.3500001430511475,0.22732491389207807
block-diag ridge,strangle (nearest OTM pair),always short,index points,0.021117346934401073,0.042509616860638616,-78.3700180053711,-328.769094010815,871.0,5.3500001430511475,0.22732491389207807
block-diag ridge,strangle (nearest OTM pair),long-short volatility,per premium,0.1152100418483301,1.6313422011904308,-5.422480279928936,-18.550323958405052,871.0,5.3500001430511475,0.22732491389207807
