pair,n,hac_lag,block_len,gross_a,gross_b,mean_delta_bp,HAC_t,boot_lo_bp,boot_hi_bp,basic_lo_bp,basic_hi_bp,dSharpe_ann,dS_lo,dS_hi,dS_basic_lo,dS_basic_hi,sig_HAC,verdict_mean,verdict_dS
condor25 sign(s) - straddle sign(s) (blk2),866,14,10,1.0,1.0,-867.3641131254997,-2.967382187001106,-1445.2577162944801,-336.42597615596645,-1398.3022500950328,-289.47050995651927,-0.5101845072519823,-0.987139954917877,-0.05053052232704347,-0.9698384921769211,-0.03322905958608757,True,excludes 0,excludes 0
PC1 sign - blk2 sign(s),866,14,10,1.0,1.0,-677.9518083842917,-1.924481342636003,-1296.5348254672108,-24.51806893916503,-1331.3855478294183,-59.36879130137268,-0.9597775514027442,-1.8804034220193653,-0.0350051557603705,-1.884549947045118,-0.03915168078612319,False,knife-edge,knife-edge
EW sign(s) q - blk2 sign(s),866,14,10,0.8271197624546354,1.0,150.13272345258093,0.8066207971696387,-223.15395202764685,522.3246170465303,-222.05917014136847,523.4193989328087,0.15989563016980002,-0.3719440230632431,0.7064431158433911,-0.3866518555037911,0.6917352834028432,False,includes 0,includes 0
blk2 sign(s) - always short,866,14,10,1.0,1.0,858.5108273335262,1.7275343168345079,-94.01065203387189,1860.488715949398,-143.4670612823455,1811.0323067009242,1.2141210488103047,-0.1440264466072835,2.5035493329160694,-0.07530723529546002,2.5722685442278928,False,knife-edge,includes 0
PC1-of-q sign - blk2 sign(s),866,14,10,1.0,1.0,10.172673464165046,0.04101993092225269,-449.69040681901583,442.9528620682404,-422.6075151399103,470.03575374734595,0.01449354681530024,-0.6372463566020559,0.6349844609337445,-0.605997367303144,0.6662334502326563,False,includes 0,includes 0
trail-Sharpe sign(s) q - blk2 sign(s),866,14,10,0.8338216102720014,1.0,154.9972580172788,0.6940478069256905,-295.555433273819,607.3691408353827,-297.3746248008252,605.5499493083765,0.155935013280861,-0.46039533073313366,0.7947214565674678,-0.4828514300057458,0.7722653572948557,False,includes 0,includes 0
