,straddle_short_pts,strangle_short_pts,vertical_short_pts
2020-01-03,-0.49990272521972656,2.400097608566284,-2.9000000953674316
2020-01-06,-2.9300293922424316,0.36997075378894806,-3.3000000715255737
2020-01-08,-8.249951124191284,-10.424951195716858,2.1750001907348633
2020-01-10,0.20009756088256836,2.4499999284744263,-2.2499022483825684
2020-01-13,-4.5048828125,-1.904882788658142,-2.5999999046325684
2020-01-15,-0.21503925323486328,-1.6650390028953552,1.4500000476837158
2020-01-17,-0.7201170921325684,-2.295117199420929,1.5750000476837158
2020-01-21,-1.0849609375,1.550000011920929,-2.634960889816284
2020-01-22,3.0749998092651367,2.299999952316284,0.7750000953674316
2020-01-24,6.080029487609863,3.924999952316284,2.155029535293579
2020-01-27,0.5298824310302734,-1.6701172590255737,2.1999998092651367
2020-01-29,0.3499021530151367,-2.4000977277755737,2.75
2020-01-31,4.879980087280273,7.329980373382568,-2.4499998092651367
2020-02-03,-1.0300779342651367,-3.305078148841858,2.2750000953674316
2020-02-05,3.7399415969848633,2.800000011920929,0.93994140625
2020-02-07,2.6599607467651367,2.9749999046325684,-0.31503891944885254
2020-02-10,-2.7650880813598633,-0.24008792638778687,-2.5250000953674316
2020-02-12,-0.29995107650756836,1.574999988079071,-1.8749511241912842
2020-02-14,-5.384912014007568,-2.834912121295929,-2.549999952316284
2020-02-18,3.9599609375,1.725000023841858,2.2349610328674316
2020-02-19,-0.7500977516174316,1.675000011920929,-2.425097703933716
2020-02-21,-0.04999971389770508,2.200000047683716,-2.249999761581421
2020-02-24,-3.3101072311401367,-6.110107183456421,2.799999952316284
2020-02-26,5.389892578125,7.939892292022705,-2.549999713897705
2020-02-28,-34.51996994018555,-36.86997127532959,2.3500003814697266
2020-03-02,-38.47998046875,-40.57998037338257,2.0999999046325684
2020-03-04,-5.270116806030273,-2.6201171875,-2.6499996185302734
2020-03-06,-28.970117568969727,-26.420117378234863,-2.5500001907348633
2020-03-09,2.9600601196289062,0.5100584030151367,2.450000762939453
2020-03-11,16.270118713378906,18.670117378234863,-2.3999996185302734
2020-03-13,-80.02001953125,-78.3700180053711,-1.6500015258789062
2020-03-16,-25.720115661621094,-28.270118713378906,2.5500011444091797
