flag,rule,n,mean,Sharpe_ann,vol_ann,worst_day,maxDD_pts,ex_kurt,flagged_days,flagged_sell_days
top tercile of rank(s_{t-1}) [primary],reference sign(s),866.0,0.11127046334901461,1.5740224995062528,17.81433033692178,-5.42248033384579,-20.40024989989894,10.487355397811655,264.0,106.0
top tercile of rank(s_{t-1}) [primary],A: flat on flagged days,866.0,0.06088674865683955,1.022788274249639,15.001600084612024,-5.42248033384579,-20.40024989989894,21.755805354704844,264.0,106.0
top tercile of rank(s_{t-1}) [primary],B: flat on flagged days only when selling,866.0,0.08498552512200597,1.2418044809698765,17.24615481659308,-5.42248033384579,-20.40024989989894,12.376364969654084,264.0,106.0
top tercile of rank(s_{t-1}) [primary],reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,264.0,106.0
top tercile of rank(s_{t-1}) [primary],A on always-short,866.0,0.012288877616545145,0.206020862832899,15.031473593434812,-10.31604850795286,-19.656108508187607,22.19759150998556,264.0,106.0
bottom tercile of rank(s_{t-1}),reference sign(s),866.0,0.11127046334901461,1.5740224995062528,17.81433033692178,-5.42248033384579,-20.40024989989894,10.487355397811655,223.0,176.0
bottom tercile of rank(s_{t-1}),A: flat on flagged days,866.0,0.07705510387930027,1.1785558950349997,16.47599936446546,-5.42248033384579,-19.70216388341657,15.143495288072836,223.0,176.0
bottom tercile of rank(s_{t-1}),B: flat on flagged days only when selling,866.0,0.08581503195970798,1.2830815631523778,16.854258275456335,-5.42248033384579,-19.70216388341657,13.623347383481482,223.0,176.0
bottom tercile of rank(s_{t-1}),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,223.0,176.0
bottom tercile of rank(s_{t-1}),A on always-short,866.0,-0.0022204639305116337,-0.0338686984481477,16.52135854425,-10.31604850795286,-23.963534655298055,15.47009579660166,223.0,176.0
top tercile of rank(|s_{t-1}|),reference sign(s),866.0,0.11127046334901461,1.5740224995062528,17.81433033692178,-5.42248033384579,-20.40024989989894,10.487355397811655,162.0,118.0
top tercile of rank(|s_{t-1}|),A: flat on flagged days,866.0,0.09554271409438264,1.438594351721565,16.736312027759443,-5.42248033384579,-20.069294378471803,13.863681060153015,162.0,118.0
top tercile of rank(|s_{t-1}|),B: flat on flagged days only when selling,866.0,0.10034926756296444,1.4687993749917678,17.216793427631174,-5.42248033384579,-20.40024989989894,12.344805670791631,162.0,118.0
top tercile of rank(|s_{t-1}|),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,162.0,118.0
top tercile of rank(|s_{t-1}|),A on always-short,866.0,0.008360397060918933,0.12537275038592255,16.80444955435974,-10.31604850795286,-18.528907955433716,14.261258328840524,162.0,118.0
