model,x,a,b,t_b,p_b,R2,n
HAR + calendar OLS,raw s,-0.020132966230479096,-2.2029980555287842,-0.0008936108371674628,0.9992870018045509,5.657916357648674e-10,871
HAR + calendar OLS,s / med|s|,-0.020067728053971928,-0.00035380946251745127,-0.13272879430481457,0.8944078697724954,1.3005092833306975e-05,871
block-diag ridge,raw s,-0.019630064167780112,-438.12009059680634,-0.4387300776373666,0.6608571304596799,9.598371972407982e-05,871
block-diag ridge,s / med|s|,-0.019453565305463695,-0.0004943528240243175,-0.47675139405353845,0.6335391610775716,0.00012039761105786528,871
LightGBM,raw s,-0.020780983187650662,752.7762930737694,1.2791440587769836,0.20084633096646498,0.00024957258091229395,871
LightGBM,s / med|s|,-0.02091754761503022,0.0006705154080112163,1.0565528666326514,0.29071570116404133,0.0001909679863508762,871
XGBoost,raw s,-0.021065805621601246,985.45535359518,1.5481129271639615,0.12159511023545218,0.00037605819352304337,871
XGBoost,s / med|s|,-0.021249913671745134,0.000938996698040277,1.3578924766940208,0.17449780496039147,0.0003075095927781435,871
lasso (causally tuned),raw s,-0.020117782263356948,-21.687052451559534,-0.025159031178709792,0.9799281149865091,2.290170361129995e-07,871
lasso (causally tuned),s / med|s|,-0.020059129086373025,-7.810553612665633e-05,-0.08666427339567341,0.9309383752328652,2.920463402888984e-06,871
lasso (fixed 1e-4),raw s,-0.019612035573380843,-477.04495780557045,-0.4719021475926955,0.6369966350933827,0.0001133299426890888,871
lasso (fixed 1e-4),s / med|s|,-0.01944482697422426,-0.0005479616921569111,-0.5076879836881202,0.6116721767536744,0.00013939215679559247,871
elastic net (causally tuned),raw s,-0.020205778470688572,104.40796510523107,0.148668424287652,0.8818152780654512,6.057069882658972e-06,871
elastic net (causally tuned),s / med|s|,-0.02018437263146134,4.897290469352126e-05,0.06974901340207228,0.9443934296908192,1.4475094591848148e-06,871
