width,instrument,rule,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
25,condor,mean-s then sign,871.0,0.015383375461187983,0.2368669341330362,-0.771992189437151,-0.1237959011644125,0.028796875029802323,0.1584013634175062,0.8730000010877847,-0.05574818846705065,0.857961181634276,1.9167094260551922,1.0309734267640116,312.0,35.82089552238806
25,condor,majority vote,871.0,0.015369988380978722,0.23686780417893094,-0.771992189437151,-0.12240039244294167,0.027599639892578125,0.15810058299452068,0.8730000010877847,-0.05785797317046866,0.8584861787079232,1.9150344131474006,1.0300724587957089,309.0,35.47646383467279
25,condor,EW sign(s) q,871.0,0.014024136169227978,0.20622325686234752,-0.771992189437151,-0.08855942982115916,0.015372209825686045,0.126695310510695,0.8730000010877847,-0.10365262908810766,1.7186706188117364,2.007000848563805,1.0795400253342957,309.0,35.47646383467279
25,condor,spectral PC1 sign,871.0,0.012174994079998476,0.23705371516794432,-0.8730000010877847,-0.1129999665543437,0.05099609375,0.1588007793948054,0.8059999990463257,-0.5228228136836253,0.948660077447947,1.5157621919078683,0.815309049930861,208.0,23.880597014925375
25,condor,blk2 sign(s),871.0,0.016518528869113976,0.23679039107486582,-0.8069999998807907,-0.11660351559519769,0.03079882651567459,0.161299802698195,0.8730000010877847,-0.14122147388189102,0.884094189671186,2.0588104758094095,1.1074077595952472,339.0,38.920780711825486
25,condor,blk2 always short,871.0,0.001076055046525943,0.23736407796939196,-0.8730000010877847,-0.11369820810854435,0.05940234564244747,0.14909765612334014,0.5950000190734863,-0.8224338031497621,0.8513728890744869,0.13379151497634748,0.07196474060807465,0.0,0.0
25,straddle same days,mean-s then sign,871.0,0.10961338847942678,1.1216647232621646,-5.422480279928936,-0.6523447979980617,0.1616790718622454,0.9123646891657275,10.31604850795286,0.9947596455237266,10.542219846220288,2.8840953838524,1.551317930920926,312.0,35.82089552238806
25,straddle same days,majority vote,871.0,0.10878652442495898,1.121745312457144,-5.422480279928936,-0.6500226971200699,0.1600260683687188,0.9154273206033494,10.31604850795286,0.9630600784823982,10.554403051938696,2.8621336916763602,1.5395050182631802,309.0,35.47646383467279
25,straddle same days,EW sign(s) q,871.0,0.09866742835369141,0.9467351303645366,-5.422480279928936,-0.4134546507886822,0.09790324392724803,0.6817035996886853,10.31604850795286,1.2396733221650185,17.482208709584626,3.07577380398407,1.6544192956627766,309.0,35.47646383467279
25,straddle same days,spectral PC1 sign,871.0,0.08309366413269602,1.123943131794151,-10.31604850795286,-0.48947415884913725,0.26884641515385954,0.9325585400320928,6.83603367783646,-1.3247197101268586,11.237965229970637,2.181888985708079,1.1736101121200089,208.0,23.880597014925375
25,straddle same days,blk2 sign(s),871.0,0.1152100418483301,1.121103048933301,-5.422480279928936,-0.6861797953247742,0.15113611727602083,0.9123646891657275,10.31604850795286,0.9606200001717903,10.558119673367855,3.0328705793685278,1.6313422011904308,339.0,38.920780711825486
25,straddle same days,blk2 always short,871.0,0.020132472943937295,1.1268340048342713,-10.31604850795286,-0.4435358568488702,0.32893453154561647,0.931262653135382,1.0,-2.3143220828599675,10.899722145931872,0.5272860203432714,0.2836203901792714,0.0,0.0
50,condor,mean-s then sign,871.0,0.009083825200325656,0.14065065358522819,-0.7310000020265579,-0.06225195791572333,0.017199217304587365,0.08149999998509884,0.713999998345971,-0.17618007825826182,4.046959153570613,1.90605791058752,1.0252441131535825,312.0,35.82089552238806
50,condor,majority vote,871.0,0.009103538088551825,0.14064937758978527,-0.7310000020265579,-0.060499997530132535,0.015398438945412636,0.08124902298673987,0.713999998345971,-0.17870981276375053,4.0478620174064135,1.910211593081436,1.0274783257140414,309.0,35.47646383467279
50,condor,EW sign(s) q,871.0,0.008665679259256582,0.12134765367478866,-0.5179999995231629,-0.04399386247353894,0.00960058592259884,0.06657798487959163,0.6767011723667383,-0.17003211626381878,4.575703070731321,2.1075617337400727,1.1336304362120546,309.0,35.47646383467279
