,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
always short,866.0,0.014475039184953114,1.1276136351186241,-10.31604850795286,-0.44860321730068753,0.3273560071867437,0.9281034342060902,1.0,-2.3116209895688082,10.891894237059224,0.3777620924688714,0.203779128108568,0.0,0.0
sign(s),866.0,0.10190137329926481,1.123087879337616,-5.422480279928936,-0.6729372814183278,0.16030939352912305,0.873549971010103,10.31604850795286,0.995311703011976,10.584462639945837,2.670085957163503,1.440345125075105,330.0,38.10623556581986
"sign(s), flat on event days",866.0,0.11181594962537711,1.0547157890405932,-3.852339562773788,-0.5036057646223756,0.002053803994219061,0.823763938540377,10.31604850795286,1.3815410661716552,12.937707323980263,3.1198036015143304,1.682939793221704,303.0,34.98845265588915
