,baseline (HAR + calendar OLS),block-diagonal ridge,"block-diagonal ridge, without the FOMC columns",LightGBM,XGBoost,lasso (causally tuned),lasso (fixed 1e-4),elastic net (causally tuned),per-bar ridge (HAR + calendar),per-bar ridge (all features),per-bar lasso (all features),per-bar elastic net (all features),per-bar ridge (live-feasible set),per-bar lasso (live-feasible set),per-bar elastic net (live-feasible set)
baseline (HAR + calendar OLS),1.0,0.6288659793814433,0.6146095717884131,0.6647398843930635,0.6765578635014837,0.663013698630137,0.6180904522613065,0.6610644257703081,0.7564469914040115,0.5125628140703518,0.6167979002624672,0.5907928388746803,0.5732009925558312,0.609375,0.6161879895561357
block-diagonal ridge,0.6288659793814433,1.0,0.8997289972899729,0.610126582278481,0.5822784810126582,0.7506561679790026,0.9234972677595629,0.7506702412868632,0.6100478468899522,0.583732057416268,0.6447688564476886,0.6276849642004774,0.6523809523809524,0.6142857142857143,0.6400966183574879
"block-diagonal ridge, without the FOMC columns",0.6146095717884131,0.8997289972899729,1.0,0.5847665847665847,0.5577395577395577,0.7467700258397932,0.8912466843501327,0.7284595300261096,0.586046511627907,0.5788235294117647,0.6348448687350835,0.6220657276995305,0.6386946386946387,0.6202830188679245,0.6420047732696897
LightGBM,0.6647398843930635,0.610126582278481,0.5847665847665847,1.0,0.8717105263157895,0.6878453038674033,0.6363636363636364,0.6675977653631285,0.6630727762803235,0.5578406169665809,0.6711590296495957,0.6344647519582245,0.5831265508684863,0.6197916666666666,0.6181818181818182
XGBoost,0.6765578635014837,0.5822784810126582,0.5577395577395577,0.8717105263157895,1.0,0.6713091922005571,0.6045340050377834,0.655367231638418,0.6602739726027397,0.5454545454545454,0.6327077747989276,0.6015625,0.551980198019802,0.582901554404145,0.5854922279792746
lasso (causally tuned),0.663013698630137,0.7506561679790026,0.7467700258397932,0.6878453038674033,0.6713091922005571,1.0,0.7774869109947644,0.841642228739003,0.6658097686375322,0.5885286783042394,0.6692307692307692,0.6507537688442211,0.6600496277915633,0.648989898989899,0.676923076923077
lasso (fixed 1e-4),0.6180904522613065,0.9234972677595629,0.8912466843501327,0.6363636363636364,0.6045340050377834,0.7774869109947644,1.0,0.7733333333333333,0.6232227488151659,0.5971563981042654,0.6618357487922706,0.6484560570071259,0.6533957845433255,0.6273584905660378,0.65311004784689
elastic net (causally tuned),0.6610644257703081,0.7506702412868632,0.7284595300261096,0.6675977653631285,0.655367231638418,0.841642228739003,0.7733333333333333,1.0,0.6467532467532467,0.5852417302798982,0.6631853785900783,0.6445012787723785,0.6498740554156172,0.6426735218508998,0.6797900262467191
per-bar ridge (HAR + calendar),0.7564469914040115,0.6100478468899522,0.586046511627907,0.6630727762803235,0.6602739726027397,0.6658097686375322,0.6232227488151659,0.6467532467532467,1.0,0.5273159144893111,0.6507537688442211,0.6170731707317073,0.5957446808510638,0.6557788944723618,0.6582914572864321
per-bar ridge (all features),0.5125628140703518,0.583732057416268,0.5788235294117647,0.5578406169665809,0.5454545454545454,0.5885286783042394,0.5971563981042654,0.5852417302798982,0.5273159144893111,1.0,0.7272727272727273,0.7863013698630137,0.6517412935323383,0.5960591133004927,0.5985221674876847
per-bar lasso (all features),0.6167979002624672,0.6447688564476886,0.6348448687350835,0.6711590296495957,0.6327077747989276,0.6692307692307692,0.6618357487922706,0.6631853785900783,0.6507537688442211,0.7272727272727273,1.0,0.9083094555873925,0.6376811594202898,0.710594315245478,0.682741116751269
per-bar elastic net (all features),0.5907928388746803,0.6276849642004774,0.6220657276995305,0.6344647519582245,0.6015625,0.6507537688442211,0.6484560570071259,0.6445012787723785,0.6170731707317073,0.7863013698630137,0.9083094555873925,1.0,0.6442307692307693,0.678391959798995,0.664179104477612
per-bar ridge (live-feasible set),0.5732009925558312,0.6523809523809524,0.6386946386946387,0.5831265508684863,0.551980198019802,0.6600496277915633,0.6533957845433255,0.6498740554156172,0.5957446808510638,0.6517412935323383,0.6376811594202898,0.6442307692307693,1.0,0.7480719794344473,0.8111702127659575
per-bar lasso (live-feasible set),0.609375,0.6142857142857143,0.6202830188679245,0.6197916666666666,0.582901554404145,0.648989898989899,0.6273584905660378,0.6426735218508998,0.6557788944723618,0.5960591133004927,0.710594315245478,0.678391959798995,0.7480719794344473,1.0,0.8575418994413407
per-bar elastic net (live-feasible set),0.6161879895561357,0.6400966183574879,0.6420047732696897,0.6181818181818182,0.5854922279792746,0.676923076923077,0.65311004784689,0.6797900262467191,0.6582914572864321,0.5985221674876847,0.682741116751269,0.664179104477612,0.8111702127659575,0.8575418994413407,1.0
