,long: n_active,long: mean,long: Sharpe_ann,long: t_mean,short: n_active,short: mean,short: Sharpe_ann,short: t_mean,sign(s): n_active,sign(s): mean,sign(s): Sharpe_ann,sign(s): t_mean
baseline (HAR + calendar OLS),286,0.02705707189021488,0.5723561754252028,1.0610236115590395,580,0.04153211107516799,0.7846020873154209,1.45448127593228,866,0.06858918296538287,0.9673095454705917,1.7931810846074554
block-diagonal ridge,346,0.04013065643096866,0.7647783090177713,1.4177323113063771,520,0.054605695615921754,1.1448977857320692,2.122390978975532,866,0.0947363520468904,1.3383216004229939,2.480956577175688
"block-diagonal ridge, without the FOMC columns",355,0.03775322080411785,0.7103511730773856,1.3168362629683268,511,0.05222825998907097,1.112149756505168,2.0616832698013368,866,0.08998148079318882,1.2707081191811798,2.3556159184434335
LightGBM,290,0.04438149317366349,0.874192185006419,1.6205617920399502,576,0.058856532358616605,1.1896932946735352,2.2054320899470183,866,0.10323802553228009,1.4593971219265764,2.705404207188048
XGBoost,279,0.045736105170884285,0.917477518823992,1.7008033674550158,587,0.06021114435583739,1.1949861465410632,2.2152438838003112,866,0.10594724952672167,1.4980323951467007,2.7770255836764437
lasso (causally tuned),321,0.042757190836877436,0.8536413627688527,1.582465046399333,545,0.05723223002183055,1.1406744889127616,2.1145619070858497,866,0.09998942085870799,1.4131037944414562,2.6195864670669464
lasso (fixed 1e-4),358,0.0461495584614331,0.8406314841997456,1.5583475668681936,508,0.060624597646386204,1.3523690807016102,2.506997544144288,866,0.1067741561078193,1.509829846463058,2.7988954873139367
elastic net (causally tuned),307,0.029005018293104538,0.5957048073978081,1.1043068867017116,559,0.04348005747805766,0.8422630850264321,1.5613721992144203,866,0.07248507577116219,1.0224751588133707,1.8954461091078754
