model,mean_R|s>0,mean_R|s<=0,diff,t_diff,n_pos,n_nonpos
HAR + calendar OLS,-0.03384539301958703,-0.012063490038351558,-0.021781902981235467,-0.26867119985484583,280,590
block-diag ridge,-0.007200784521175835,-0.02665367837181392,0.019452893850638246,0.228341272165097,339,531
LightGBM,-0.026642495918975873,-0.01546286556006718,-0.011179630358908697,-0.1375700275478058,281,589
XGBoost,-0.030401634357635297,-0.013838184402961464,-0.01656344995467375,-0.2158787977554197,275,595
lasso (causally tuned),-0.003319043936151159,-0.02819490771774877,0.02487586378159771,0.30949645457801644,319,551
lasso (fixed 1e-4),-0.009136042944566483,-0.026222627542074283,0.017086584597507806,0.21341207044815816,364,506
elastic net (causally tuned),-0.014624416606344427,-0.021439428438372838,0.0068150118320284316,0.08537035027838503,302,568
