rule,units,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
always short,per premium,870.0,-0.009757891885478442,1.0083287231669003,-6.8688205640835145,-0.46448086647537634,0.2600856556515254,0.8228556666946112,0.9844961233415123,-1.6835673884966136,4.510207654575099,-0.28543911726350346,-0.15362225426731907,0.0,0.0
always short,capital at risk,870.0,-0.004186574446653496,0.47338619426208756,-1.0,-0.2223726568349758,0.08821051976336225,0.23647604460798366,2.0309166101343252,-0.09298284713919994,1.3267196427585088,-0.2608572169543602,-0.14039236841331057,0.0,0.0
long-short volatility,per premium,870.0,0.06519352054750252,1.0905164720755676,-4.676056415948148,-0.613711454473839,0.11641896894425696,0.7999999959021806,10.31604850795286,1.1258458250649388,11.713966825284412,1.7633228308033257,0.9490136841299469,275.0,31.60919540229885
long-short volatility,capital at risk,870.0,0.04361827697482009,0.8619081866928542,-1.0,-0.42851523009033554,0.049467205115203125,0.28476569403846025,10.31604850795286,3.587661708130917,30.096898372683402,1.4926814179716348,0.8033554984688868,275.0,31.60919540229885
