rule,variant,unit,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
always short,mid premium R,return,871.0,0.020132472943937295,1.1268340048342713,-10.31604850795286,-0.4435358568488702,0.32893453154561647,0.931262653135382,1.0,-2.3143220828599675,10.899722145931872,0.5272860203432714,0.2836203901792714,0.0,0.0
always short,crossed fill,return,869.0,-0.016757602143583378,1.1704033265347698,-10.954857518943221,-0.49165852864583326,0.3062085001331557,0.9289381861881805,1.0,-2.363536856007954,11.574813604714961,-0.4220716829069484,-0.22728804764910615,0.0,0.0
always short,half-spread TC,return,871.0,-0.016798702225846847,1.1254406800395536,-10.36948360828577,-0.4738721906514823,0.29395377902478914,0.8863939950382282,0.98837210462827,-2.3234732360876005,11.011118434333472,-0.440516520587152,-0.23694818870412218,0.0,0.0
always short,index-point P&L,points,871.0,0.021117346934401073,7.885921228751076,-78.3700180053711,-2.390039026737213,1.7248048782348633,3.9725096225738525,21.89013671875,-2.602497493093396,16.119767895996496,0.07903073078277419,0.042509616860638616,0.0,0.0
always short,dollar P&L,USD,871.0,2.1117346934401073,788.5921228751075,-7837.001800537109,-239.0039026737213,172.48048782348633,397.25096225738525,2189.013671875,-2.602497493093396,16.119767895996493,0.07903073078277419,0.042509616860638616,0.0,0.0
always short,margin-scaled,return,871.0,-7.476355053743049e-05,0.014687118188489097,-0.18247570292692689,-0.0037664458203920297,0.0027812926671113387,0.006401479879937334,0.04469186216651904,-3.9110395223088763,34.77532873524004,-0.15023198506180555,-0.08080785868909766,0.0,0.0
unit-median VRP,mid premium R,return,871.0,0.10595301834065125,1.2891506527166243,-10.652714021129912,-0.34658165708389627,0.018515108879213104,0.5241342306473851,9.173978296686329,-0.031538194013921744,11.302623405305376,2.425597508560491,1.3046978020542428,395.0,45.350172215843855
unit-median VRP,crossed fill,return,869.0,0.06890358947486484,1.288348630394446,-10.903683030631143,-0.3644471870474582,0.008196013107521345,0.48720703124999987,8.961641334462033,-0.23831735389198042,11.495030081781257,1.5765884289318957,0.8490020071711447,395.0,45.350172215843855
unit-median VRP,half-spread TC,return,871.0,0.06581496129372603,1.2803404799906113,-10.706865697694536,-0.3755538658075205,0.006592783818240533,0.4744892252120221,9.12072378293594,-0.1043094850466168,11.649534028926489,1.517079120129139,0.816017408737172,395.0,45.350172215843855
unit-median VRP,index-point P&L,points,871.0,0.41093443662141127,13.833967494978243,-147.5400881767273,-1.6772861798826573,0.07972510612311791,2.5354726249032127,77.52011704444885,-1.8091647053890811,22.965084920101116,0.8766674132040531,0.4715481620933494,395.0,45.350172215843855
unit-median VRP,dollar P&L,USD,871.0,41.09344366214114,1383.3967494978244,-14754.00881767273,-167.72861798826574,7.972510612311791,253.54726249032126,7752.011704444885,-1.809164705389081,22.96508492010112,0.8766674132040533,0.4715481620933495,395.0,45.350172215843855
unit-median VRP,margin-scaled,return,871.0,0.03339434749622231,0.8272409456444905,-3.0,-0.06712983269915848,0.0002389977506282989,0.013682921669900185,9.173978296686329,3.9035709565580072,32.4304110839824,1.1913792097968534,0.6408276026625507,395.0,45.350172215843855
