k,flat rule: gain over sign(s),flat rule: share of the gain left,sign(s): gain over always short,sign(s): share of the gain left
0,0.4792376504818584,1.0,1.1445333972655485,1.0
1,0.37310736454542814,0.7785435142048636,0.8525999867817806,0.7449323792724285
3,0.23319229304579592,0.48659009326860775,0.4936667323621263,0.4313257555800169
5,0.12589930952771722,0.26270746758133345,0.22135942453996374,0.19340582377833848
9,-0.004664868786329102,-0.009733936350031603,-0.26566870780925167,-0.2321196641740395
