,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
always short,871.0,0.000977916782925037,0.14094062458924747,-0.7310000020265579,-0.04945068318396807,0.033202146515250205,0.07830028913915157,0.3983027333021164,-1.3962992333185162,4.007361953621509,0.20477398655456963,0.11014530202671062,0.0,0.0
long-short volatility,871.0,-0.0021157659366555794,0.14092812164078528,-0.7310000020265579,-0.05904980503022671,0.024203125461935995,0.07830028913915157,0.4888007812574506,-1.239381074522421,3.8950658722996163,-0.44307682485087063,-0.2383253435427443,144.0,16.53272101033295
unit-median VRP,871.0,0.0038884214848725653,0.2405445346956303,-1.6140000236034393,-0.022484067750568538,0.006116528918095353,0.04838151686777678,1.1949081999063491,-1.2704277325398998,12.651973021881957,0.4770752841690897,0.2566126789267733,144.0,16.53272101033295
