model,b_rank,t,p,n
HAR + calendar OLS,0.16735151098783463,1.3244350838159475,0.18535858924306525,808
block-diag ridge,0.16264533882657872,1.2849657594619461,0.19880424954101705,808
LightGBM,0.08573577417960306,0.7022772159366646,0.4825062992864477,808
XGBoost,0.10799895077392914,0.9017694379806417,0.36717935787218814,808
lasso (causally tuned),0.1312762979847156,1.0422753824422062,0.29728402232845275,808
lasso (fixed 1e-4),0.15146471478712034,1.1886532597632737,0.23457614039196184,808
elastic net (causally tuned),0.12180398946209489,0.969793342769204,0.332149511844519,808
