tercile of rank(s_{t-1}),days,share that are sell days,sell days,mean |R| on sell days,worst sell-day return,sell days below -2
bottom,237,0.8016877637130801,190,0.6602549527320164,-3.2692306909335453,3
middle,305,0.6196721311475409,189,0.832072472066597,-5.42248033384579,10
top,261,0.4482758620689655,117,0.7614565250583784,-3.813873034315516,4
