w,fill,days,Sharpe_always_short,Sharpe_long_short,worst_long_short
20,"mid, plain",867,0.21981173463881232,1.57218279391998,-5.422480279928936
20,"mid, wings",867,-0.1881711857644667,1.3318542970169558,-4.676056415948148
20,"spread, plain",867,-0.2554234559136447,1.0940544449599028,-5.450649284317786
20,"spread, wings",867,-0.9598441432439221,0.7060702742069769,-4.718309926728932
25,"mid, plain",867,0.21981173463881232,1.57218279391998,-5.422480279928936
25,"mid, wings",867,-0.09476122949602761,1.3886278453392034,-5.436564787370249
25,"spread, plain",867,-0.2554234559136447,1.0940544449599028,-5.450649284317786
25,"spread, wings",867,-0.8128694757561857,0.7871190010906762,-5.4788182992004115
30,"mid, plain",867,0.21981173463881232,1.57218279391998,-5.422480279928936
30,"mid, wings",867,-0.031072193255892725,1.439477277031131,-5.436564787370249
30,"spread, plain",867,-0.2554234559136447,1.0940544449599028,-5.450649284317786
30,"spread, wings",867,-0.7223909363372568,0.8482361974522387,-5.4788182992004115
50,"mid, plain",867,0.21981173463881232,1.57218279391998,-5.422480279928936
50,"mid, wings",867,0.06909431925098553,1.5118970721614453,-5.436564787370249
50,"spread, plain",867,-0.2554234559136447,1.0940544449599028,-5.450649284317786
50,"spread, wings",867,-0.5763775622860341,0.938075539641219,-5.4788182992004115
