flag,rule,n,mean,Sharpe_ann,vol_ann,worst_day,maxDD_pts,ex_kurt,flagged_days,flagged_sell_days
top tercile of rank(s_{t-1}) [primary],reference sign(s),866.0,0.10323802616038491,1.4593971326228716,17.82652713977881,-5.42248033384579,-17.95216833443976,10.578266569250362,296.0,153.0
top tercile of rank(s_{t-1}) [primary],A: flat on flagged days,866.0,0.06500744010387752,1.1239810050809718,14.574868109089604,-5.42248033384579,-13.709225489699762,24.163773882008172,296.0,153.0
top tercile of rank(s_{t-1}) [primary],B: flat on flagged days only when selling,866.0,0.07669606930130117,1.170271470852504,16.515321397904813,-5.42248033384579,-17.777998420561268,14.819404794630154,296.0,153.0
top tercile of rank(s_{t-1}) [primary],reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,296.0,153.0
top tercile of rank(s_{t-1}) [primary],A on always-short,866.0,-0.00037828828327279135,-0.006524266507589252,14.611396894019252,-10.31604850795286,-27.316780386536944,24.42527305312419,296.0,153.0
bottom tercile of rank(s_{t-1}),reference sign(s),866.0,0.10323802616038491,1.4593971326228716,17.82652713977881,-5.42248033384579,-17.95216833443976,10.578266569250362,233.0,190.0
bottom tercile of rank(s_{t-1}),A: flat on flagged days,866.0,0.07371238219708218,1.133259727206487,16.39122953698692,-5.42248033384579,-21.578867001773396,15.530677353703462,233.0,190.0
bottom tercile of rank(s_{t-1}),B: flat on flagged days only when selling,866.0,0.08105051853723644,1.2164581332620739,16.790327684038164,-5.42248033384579,-17.719685726718915,13.990300112363583,233.0,190.0
bottom tercile of rank(s_{t-1}),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,233.0,190.0
bottom tercile of rank(s_{t-1}),A on always-short,866.0,-0.0003743319046068844,-0.00574038158469531,16.432991181707628,-10.31604850795286,-17.609420215033044,15.781780550602248,233.0,190.0
top tercile of rank(|s_{t-1}|),reference sign(s),866.0,0.10323802616038491,1.4593971326228716,17.82652713977881,-5.42248033384579,-17.95216833443976,10.578266569250362,174.0,134.0
top tercile of rank(|s_{t-1}|),A: flat on flagged days,866.0,0.08431221486545035,1.2573678476160126,16.897742523301748,-5.42248033384579,-21.51422124789719,13.628452015781965,174.0,134.0
top tercile of rank(|s_{t-1}|),B: flat on flagged days only when selling,866.0,0.07956878735264941,1.1698293300482392,17.140392959749793,-5.42248033384579,-18.644882855989884,12.78969748522834,174.0,134.0
top tercile of rank(|s_{t-1}|),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,174.0,134.0
top tercile of rank(|s_{t-1}|),A on always-short,866.0,-0.013937626942149102,-0.20722306974610297,16.949280761668795,-10.31604850795286,-23.367452832481547,13.735470602623584,174.0,134.0
