width,rule,med_gap,n,Sharpe_hedged,Sharpe_plain,dSharpe,HAC_t_diff,worst_hedged,worst_plain,wing_cost_pts_per_sell_day,pct_sell_days_beyond_wing
w10,always short,10.0,866.0,-0.4031807982323645,0.2037791310734338,-0.6069599293057983,-1.707637817508074,-5.655737811660967,-10.31604850795286,0.06967841366017732,22.28637413394919
w10,sign(s),10.0,866.0,0.9794593391401597,1.3383216111351313,-0.35886227199497156,-2.459363384296464,-3.8809523628327716,-5.42248033384579,0.0618387555058759,24.23076923076923
w20,always short,20.0,866.0,-0.20287675938193647,0.2037791310734338,-0.40665589045537026,-2.3198101435390335,-6.8688205640835145,-10.31604850795286,0.035438452599953006,6.697459584295612
w20,sign(s),20.0,866.0,1.1151639971384018,1.3383216111351313,-0.2231576139967295,-2.3938949186456964,-4.676056462549381,-5.42248033384579,-0.0361635152143068,8.076923076923077
w25,always short,25.0,866.0,-0.10872549429271197,0.2037791310734338,-0.31250462536614576,-2.353738397666214,-6.8688205640835145,-10.31604850795286,-0.006957723150421235,4.041570438799076
w25,sign(s),25.0,866.0,1.1586116118861602,1.3383216111351313,-0.17970999924897102,-2.1931408474818848,-5.4365648414053425,-5.42248033384579,-0.0868752784633006,4.615384615384616
w30,always short,30.0,866.0,-0.04461977475755164,0.2037791310734338,-0.24839890583098542,-2.413853330384811,-8.18320617406482,-10.31604850795286,-0.028337620439623023,2.3094688221709005
w30,sign(s),30.0,866.0,1.2099961465053455,1.3383216111351313,-0.12832546462978578,-1.8143175121733695,-5.4365648414053425,-5.42248033384579,-0.11529831901335945,2.6923076923076925
w50,always short,50.0,866.0,0.05606220209656086,0.2037791310734338,-0.14771692897687294,-3.6086835594070727,-10.331315683864023,-10.31604850795286,-0.02822756028237299,1.0392609699769053
w50,sign(s),50.0,866.0,1.2804985096725605,1.3383216111351313,-0.05782310146257075,-1.7664129183209367,-5.4365648414053425,-5.42248033384579,-0.08536536390176759,1.3461538461538463
w75,always short,75.0,866.0,0.05329698797447631,0.2037791310734338,-0.15048214309895747,-12.753260749736393,-10.331315683864023,-10.31604850795286,0.03811198774097147,0.11547344110854503
w75,sign(s),75.0,866.0,1.2654905194669694,1.3383216111351313,-0.07283109166816182,-5.931708765860434,-5.4365648414053425,-5.42248033384579,0.00880765591819699,0.19230769230769232
w100,always short,100.0,866.0,0.0573409822602929,0.2037791310734338,-0.14643814881314088,-15.838957730558262,-10.331315683864023,-10.31604850795286,0.04299074038217924,0.11547344110854503
w100,sign(s),100.0,866.0,1.2651979650165313,1.3383216111351313,-0.0731236461186,-9.597919157684352,-5.4365648414053425,-5.42248033384579,0.029192270883000814,0.19230769230769232
c1xentry,always short,10.0,866.0,-0.4444699044789106,0.2037791310734338,-0.6482490355523444,-1.457709105294056,-2.508196777135767,-10.31604850795286,0.1592671928484225,26.32794457274827
c1xentry,sign(s),10.0,866.0,0.7492011954557215,1.3383216111351313,-0.5891204156794098,-3.3856505317943566,-1.8203124475418315,-5.42248033384579,0.34093496481386515,25.769230769230766
c2xentry,always short,15.0,866.0,-0.24807250016791396,0.2037791310734338,-0.45185163124134775,-1.9416569997174682,-2.9230768882487657,-10.31604850795286,0.17262647861472866,9.584295612009237
c2xentry,sign(s),15.0,866.0,1.0064519804868455,1.3383216111351313,-0.3318696306482858,-3.3396797213184723,-2.1128401959108523,-5.42248033384579,0.2822685357219038,7.884615384615384
c4xentry,always short,25.0,866.0,-0.14051539054056583,0.2037791310734338,-0.34429452161399965,-2.850400525889093,-5.655737809218153,-10.31604850795286,0.13740257201737813,1.3856812933025404
c4xentry,sign(s),25.0,866.0,1.1323197953664121,1.3383216111351313,-0.20600181576871912,-4.956050411674179,-3.8809523601718503,-5.42248033384579,0.15160635402426123,0.9615384615384616
