,,n,mean,t_mean,Sharpe_ann
lam=0.0,always short,867.0,0.0009737779909042334,0.2029704489652835,0.1094267583791274
lam=0.0,unit-median VRP,867.0,0.007555247910283149,0.8527282298368599,0.45972843064154256
lam=0.5,always short,867.0,-0.002070339743086623,-0.4282474026823571,-0.23087954576001601
lam=0.5,unit-median VRP,867.0,0.0038436469270048627,0.43278802732981636,0.2333275170717059
lam=1.0,always short,867.0,-0.005114457477077479,-1.0481860150950375,-0.5651049125373099
lam=1.0,unit-median VRP,867.0,0.00013204594372657455,0.01482237927477279,0.007991138235998936
