rule,f,g_ann,terminal,maxDD_frac,worst_day_factor,ruin_bound_f,n
always short,0.03,-0.043388862655741274,0.8614776462100451,-0.549049175188413,0.6905185447614142,0.09693634139361391,866.0
sign(s),0.03,0.6670210873997396,9.89691666516437,-0.45838933742131915,0.8373255916021319,0.18441745260032655,866.0
heaviside(s): long only,0.03,0.2678881920226209,2.510796159787711,-0.34721756430990935,0.97,1.0,866.0
heaviside(s): short only,0.03,0.39913289537711866,3.9417443851758764,-0.30067675221057233,0.8373255916021319,0.18441745260032655,866.0
