statistic,model,mean_R|s>0,mean_R|s<=0,diff,t_diff,n_pos,n_nonpos,mean_R_top,mean_R_bottom,n_top,n_bottom,spearman_rho,p_sp,kendall_tau,p_kt,n,b_rank,t,p,a,b,t_b,p_b,R2,b_absR,t_rank_alone,t_rank_with_iv,t_iv
sign,HAR + calendar OLS,0.07854322630788564,-0.06688238121891263,0.145425607526798,1.8580134526472132,280.0,591.0,,,,,,,,,,,,,,,,,,,,,
sign,block-diag ridge,0.12214242258956656,-0.11079260374442194,0.2329350263339873,2.9422472680676877,339.0,532.0,,,,,,,,,,,,,,,,,,,,,
sign,LightGBM,0.11447453497771713,-0.0845792916772252,0.1990538266549421,2.3368627492102547,282.0,589.0,,,,,,,,,,,,,,,,,,,,,
sign,XGBoost,0.12361106209045142,-0.08645709061920057,0.21006815270965162,2.413036151386479,275.0,596.0,,,,,,,,,,,,,,,,,,,,,
sign,lasso (causally tuned),0.11149608095522426,-0.09657736813038323,0.20807344908560724,2.6189668372998867,320.0,551.0,,,,,,,,,,,,,,,,,,,,,
sign,lasso (fixed 1e-4),0.13089762490846404,-0.12907710874655884,0.2599747336550228,3.2951579736517496,365.0,506.0,,,,,,,,,,,,,,,,,,,,,
sign,elastic net (causally tuned),0.08674649177132969,-0.07714713193817305,0.16389362370950297,1.926787577855409,303.0,568.0,,,,,,,,,,,,,,,,,,,,,
tercile,HAR + calendar OLS,,,0.16611095876687415,2.00608757249862,,,0.05633264905468816,-0.10977830971218568,271.0,255.0,,,,,,,,,,,,,,,,,
tercile,block-diag ridge,,,0.24531903926852605,2.868271154873297,,,0.10562051828942477,-0.13969852097910157,262.0,240.0,,,,,,,,,,,,,,,,,
tercile,LightGBM,,,0.22966373075227509,2.731147201815815,,,0.10653116018065344,-0.12313257057162172,298.0,232.0,,,,,,,,,,,,,,,,,
tercile,XGBoost,,,0.18385179357207665,2.1175116294258753,,,0.07182787399449486,-0.11202391957758173,292.0,237.0,,,,,,,,,,,,,,,,,
tercile,lasso (causally tuned),,,0.2530023680317588,2.9829314934119804,,,0.15330284281530843,-0.09969952521645004,283.0,211.0,,,,,,,,,,,,,,,,,
tercile,lasso (fixed 1e-4),,,0.23233469201549523,2.687395772265099,,,0.10922280116141954,-0.12311189085407598,257.0,229.0,,,,,,,,,,,,,,,,,
tercile,elastic net (causally tuned),,,0.23444961498553243,2.7992848896042157,,,0.13272059572176245,-0.10172901926376986,282.0,217.0,,,,,,,,,,,,,,,,,
assoc,HAR + calendar OLS,,,,,,,,,,,-0.002465243139278685,0.9420833399568436,-0.003005386171372384,0.8964976690000264,871.0,,,,,,,,,,,,
