,w25,w50
sell days,531.0,531.0
share inside body,0.2278719397363465,0.2278719397363465
q50,0.16439453125,0.082197265625
q75,0.3808056640625,0.19040283203125
q90,0.693603515625,0.3468017578125
q95,0.931201171875,0.4656005859375
q99,2.2520781250000232,1.1260390625000116
share between half-gap and wing,0.12052730696798493,0.032015065913371
share beyond wing,0.04331450094161959,0.011299435028248588
