basis,forecast,Sharpe trade,Sharpe S&P,correlation,premium $ per $100 S&P,risk share of trade,Sharpe tangency,Sharpe gain over S&P,gain formula sqrt(SR^2+IR^2),Kelly f (premium units),half Kelly
midpoint,baseline (HAR + calendar OLS),0.9673095454705917,0.526895617967403,0.01609401991035772,2.2458941855736603,0.7683110022343177,1.0941716191188497,0.5672760011514467,0.5672760011514472,0.054,0.027
midpoint,block-diagonal ridge,1.3383216004229939,0.526895617967403,0.0007451120521329036,3.052195512943198,0.8657341546218469,1.4379408910652156,0.9110452730978126,0.9110452730978128,0.076,0.038
midpoint,"block-diagonal ridge, without the FOMC columns",1.2707081191811798,0.526895617967403,-0.001262666445880589,2.8850811760234683,0.8534241460053299,1.3762310574731627,0.8493354395057596,0.8493354395057594,0.073,0.0365
midpoint,LightGBM,1.4593971219265764,0.526895617967403,0.002525643907160603,3.3455892301224406,0.8845038381330311,1.5503516041280754,1.0234559861606725,1.023455986160672,0.084,0.042
midpoint,XGBoost,1.4980323951467007,0.526895617967403,0.005028317097746082,3.457404839932393,0.8895865268868545,1.5855112236613724,1.0586156056939693,1.0586156056939693,0.085,0.0425
midpoint,lasso (causally tuned),1.4131037944414562,0.526895617967403,-0.01716109994471419,3.096954277607042,0.8795925802588017,1.5168103933191972,0.9899147753517942,0.9899147753517942,0.076,0.038
midpoint,lasso (fixed 1e-4),1.509829846463058,0.526895617967403,-0.003961503102996782,3.4072213043710704,0.8917191787465188,1.6011084660614403,1.0742128480940374,1.0742128480940374,0.089,0.0445
midpoint,elastic net (causally tuned),1.0224751588133707,0.526895617967403,-0.017862242508800395,2.2675144240749177,0.7934989736637119,1.1587704630009463,0.6318748450335433,0.6318748450335433,0.057,0.0285
midpoint,per-bar ridge (HAR + calendar),1.249539978390838,0.526895617967403,0.03779279241907327,3.0740668208571638,0.8462670442237361,1.3385680771949335,0.8116724592275305,0.8116724592275307,0.07200000000000001,0.036000000000000004
midpoint,per-bar ridge (all features),1.7744147315112255,0.526895617967403,-0.029411451981699636,3.7181851941041564,0.9211168389650678,1.8665947437450692,1.339699125777666,1.3396991257776656,0.10300000000000001,0.051500000000000004
midpoint,per-bar lasso (all features),1.440345125075105,0.526895617967403,-0.005106200667249861,3.242321655476074,0.882389082433792,1.5362372584773643,1.0093416405099611,1.0093416405099616,0.083,0.0415
midpoint,per-bar elastic net (all features),1.5773110362736835,0.526895617967403,-0.014907004495576033,3.4599243244342985,0.9007281964048,1.670606796619078,1.143711178651675,1.1437111786516758,0.09,0.045
crossed,baseline (HAR + calendar OLS),0.49093226316152744,0.526895617967403,0.013066821171653155,1.1086152214519274,0.45781216383373635,0.7155144314369963,0.1886188134695933,0.18861881346959308,0.027,0.0135
crossed,block-diagonal ridge,0.8695877009703311,0.526895617967403,-0.0022291869329167965,1.9815225758475543,0.7319927435276279,1.0177669948278185,0.4908713768604155,0.49087137686041526,0.049,0.0245
crossed,"block-diagonal ridge, without the FOMC columns",0.8046134630083878,0.526895617967403,-0.004268838003834492,1.8345871082337535,0.7010664324265787,0.9636691676945479,0.4367735497271449,0.43677354972714477,0.046,0.023
crossed,LightGBM,0.9818045863151208,0.526895617967403,-0.00022954283382160403,2.2345804136821514,0.7764377045014521,1.114359364077242,0.587463746109839,0.5874637461098392,0.056,0.028
crossed,XGBoost,1.0215326073475821,0.526895617967403,0.0017937853251057392,2.330966243479737,0.7895609500259233,1.1485735183742967,0.6216779004068936,0.6216779004068934,0.058,0.029
crossed,lasso (causally tuned),0.9346206653459997,0.526895617967403,-0.019739455310595,2.073347214412519,0.7632253805927421,1.0821424862996742,0.5552468683322712,0.5552468683322712,0.051000000000000004,0.025500000000000002
crossed,lasso (fixed 1e-4),1.0444324874859765,0.526895617967403,-0.006959769686310064,2.370104749848696,0.7983077866067863,1.1731090707644771,0.6462134527970741,0.6462134527970741,0.061,0.0305
crossed,elastic net (causally tuned),0.5449047373133905,0.526895617967403,-0.020568166985337307,1.2319065256755986,0.526954062405859,0.7658974425840679,0.23900182461666486,0.23900182461666486,0.03,0.015
crossed,per-bar ridge (HAR + calendar),0.7749012352897964,0.526895617967403,0.03532544713585068,1.8158221445492992,0.6743483934531751,0.9221202757204783,0.39522465775307525,0.39522465775307536,0.044,0.022
crossed,per-bar ridge (all features),1.3078449912618866,0.526895617967403,-0.03286640321569109,2.8106294896871633,0.8645501581896369,1.4267349690472306,0.8998393510798276,0.8998393510798278,0.075,0.0375
crossed,per-bar lasso (all features),0.972262106042156,0.526895617967403,-0.00834051948606695,2.1992070573320732,0.7746302935913248,1.109749359036076,0.582853741068673,0.5828537410686733,0.056,0.028
crossed,per-bar elastic net (all features),1.110712111893038,0.526895617967403,-0.01826350092793391,2.47050419586011,0.8192002765133268,1.2382198772785382,0.7113242593111352,0.711324259311135,0.063,0.0315
