forecast,side,n,hit rate,mean R,mean R | R > 0,mean R | R < 0,share R = -1,mean position return
baseline (HAR + calendar OLS),buy (s > 0),286,0.3986013986013986,0.0819280568423989,1.266880190498022,-0.7034471945340025,0.23076923076923078,0.0819280568423989
baseline (HAR + calendar OLS),sell (s <= 0),580,0.6258620689655172,-0.06201173826050942,0.9697749508095568,-0.6761382853056741,0.2189655172413793,0.06201173826050942
block-diagonal ridge,buy (s > 0),346,0.407514450867052,0.10044262563358049,1.2837805824020792,-0.7134629934120699,0.22832369942196531,0.10044262563358049
block-diagonal ridge,sell (s <= 0),520,0.6346153846153846,-0.09093948539113125,0.9147231162589713,-0.6671854587161632,0.21923076923076923,0.09093948539113125
"block-diagonal ridge, without the FOMC columns",buy (s > 0),355,0.4056338028169014,0.09209658934187623,1.27624768427051,-0.7160444422681868,0.22816901408450704,0.09209658934187623
"block-diagonal ridge, without the FOMC columns",sell (s <= 0),511,0.6340508806262231,-0.08851208052942361,0.9146024976165876,-0.6646473386025333,0.2191780821917808,0.08851208052942361
LightGBM,buy (s > 0),290,0.3931034482758621,0.1325323209944572,1.4065125841114752,-0.6926594403427019,0.22413793103448276,0.1325323209944572
LightGBM,sell (s <= 0),576,0.6232638888888888,-0.08848916149750344,0.8960800764024567,-0.6811227117701745,0.2222222222222222,0.08848916149750344
XGBoost,buy (s > 0),279,0.3978494623655914,0.1419622475913469,1.4059907774623994,-0.6931994596448844,0.2222222222222222,0.1419622475913469
XGBoost,sell (s <= 0),587,0.6252129471890971,-0.08882938843638022,0.9033367798781389,-0.681126991295552,0.2231686541737649,0.08882938843638022
lasso (causally tuned),buy (s > 0),321,0.40809968847352024,0.11535117527955098,1.3107656563535157,-0.70885565114513,0.21495327102803738,0.11535117527955098
lasso (causally tuned),sell (s <= 0),545,0.6330275229357798,-0.09094148843835828,0.9155046739162219,-0.6717349023427057,0.22752293577981653,0.09094148843835828
lasso (fixed 1e-4),buy (s > 0),358,0.40502793296089384,0.11163552409944431,1.334977580650273,-0.7211560167450166,0.23184357541899442,0.11163552409944431
lasso (fixed 1e-4),sell (s <= 0),508,0.6338582677165354,-0.10334823142080801,0.8666161183640496,-0.6609468430407442,0.21653543307086615,0.10334823142080801
elastic net (causally tuned),buy (s > 0),307,0.3973941368078176,0.08181871609716135,1.2886150826138647,-0.7140145634435836,0.2247557003257329,0.08181871609716135
elastic net (causally tuned),sell (s <= 0),559,0.6261180679785331,-0.06735908725581025,0.9455994760228233,-0.6695383451107005,0.22182468694096602,0.06735908725581025
