model,rule,frame,mean_diff,HAC_t,lag,dSharpe,dSharpe_lo,dSharpe_hi,dSharpe_basic_lo,dSharpe_basic_hi,verdict_dSharpe
baseline (HAR + calendar OLS),always short,per premium,0.010596381859217891,0.6881448157916442,14,0.29622298422854354,-0.17607493378866193,0.7533205313374844,-0.16087456288039736,0.768520902245749,includes 0
baseline (HAR + calendar OLS),always short,per time value,0.008097266307847375,0.525291284059719,14,0.14696854744592677,-0.32277432967789654,0.6078163222198302,-0.31387922732797663,0.61671142456975,includes 0
baseline (HAR + calendar OLS),sign(s),per premium,-0.018576390189762804,-1.0746280351459028,14,0.03158008128190648,-0.46002811710590874,0.5153023981096921,-0.4521422355458792,0.5231882796697217,includes 0
baseline (HAR + calendar OLS),sign(s),per time value,0.000568381966179895,0.030540037996821628,14,0.10952885169776572,-0.4016037538635142,0.6355909096989263,-0.41653320630339485,0.6206614572590456,includes 0
block-diagonal ridge,always short,per premium,0.010596381859217891,0.6881448157916442,14,0.29622298422854354,-0.17607493378866193,0.7533205313374844,-0.16087456288039736,0.768520902245749,includes 0
block-diagonal ridge,always short,per time value,0.008097266307847375,0.525291284059719,14,0.14696854744592677,-0.32277432967789654,0.6078163222198302,-0.31387922732797663,0.61671142456975,includes 0
block-diagonal ridge,sign(s),per premium,-0.03527151367717178,-2.162264855039743,14,-0.14967422006411035,-0.5526381853859597,0.21983530101813745,-0.5191837411463581,0.25328974525773895,includes 0
block-diagonal ridge,sign(s),per time value,-0.008396477547789433,-0.545875427897875,14,0.007792290961041282,-0.42024199794081774,0.4231647780268351,-0.40758019610475255,0.4358265798629003,includes 0
"block-diagonal ridge, without the FOMC columns",always short,per premium,0.010596381859217891,0.6881448157916442,14,0.29622298422854354,-0.17607493378866193,0.7533205313374844,-0.16087456288039736,0.768520902245749,includes 0
"block-diagonal ridge, without the FOMC columns",always short,per time value,0.008097266307847375,0.525291284059719,14,0.14696854744592677,-0.32277432967789654,0.6078163222198302,-0.31387922732797663,0.61671142456975,includes 0
"block-diagonal ridge, without the FOMC columns",sign(s),per premium,-0.02815816011052148,-1.7367215035861545,14,-0.034636176002152075,-0.4798117139533218,0.39530322063244533,-0.4645755726367495,0.41053936194901763,includes 0
"block-diagonal ridge, without the FOMC columns",sign(s),per time value,-0.00419961960215656,-0.26215635424267797,14,0.06664383883585634,-0.38673858962639174,0.4943037649626667,-0.361016087290954,0.5200262672981044,includes 0
LightGBM,always short,per premium,0.010596381859217891,0.6881448157916442,14,0.29622298422854354,-0.17607493378866193,0.7533205313374844,-0.16087456288039736,0.768520902245749,includes 0
LightGBM,always short,per time value,0.008097266307847375,0.525291284059719,14,0.14696854744592677,-0.32277432967789654,0.6078163222198302,-0.31387922732797663,0.61671142456975,includes 0
LightGBM,sign(s),per premium,-0.02786706319172733,-1.5758864505511279,14,0.04977022250955443,-0.3912125770628609,0.4772819148407262,-0.3777414698216173,0.49075302208196975,includes 0
LightGBM,sign(s),per time value,-0.0032662814610237363,-0.187061298051765,14,0.10116443518850105,-0.3598917512972764,0.5692105618671472,-0.36688169149014516,0.5622206216742784,includes 0
XGBoost,always short,per premium,0.010596381859217891,0.6881448157916442,14,0.29622298422854354,-0.17607493378866193,0.7533205313374844,-0.16087456288039736,0.768520902245749,includes 0
XGBoost,always short,per time value,0.008097266307847375,0.525291284059719,14,0.14696854744592677,-0.32277432967789654,0.6078163222198302,-0.31387922732797663,0.61671142456975,includes 0
XGBoost,sign(s),per premium,-0.03251090776460129,-1.80158584306142,14,-0.02793935124030389,-0.44793415676090764,0.41475509060740545,-0.47063379308801323,0.39205545428029986,includes 0
XGBoost,sign(s),per time value,-0.010268608360214081,-0.5860334277110383,14,-0.005093141984361171,-0.4677245501120883,0.4752701727012611,-0.48545645666998344,0.45753826614336596,includes 0
lasso (causally tuned),always short,per premium,0.010596381859217891,0.6881448157916442,14,0.29622298422854354,-0.17607493378866193,0.7533205313374844,-0.16087456288039736,0.768520902245749,includes 0
lasso (causally tuned),always short,per time value,0.008097266307847375,0.525291284059719,14,0.14696854744592677,-0.32277432967789654,0.6078163222198302,-0.31387922732797663,0.61671142456975,includes 0
lasso (causally tuned),sign(s),per premium,-0.026866984861345648,-1.4327182824427018,14,0.05065168855464486,-0.4251471540709332,0.5276960035565962,-0.42639262644730647,0.5264505311802229,includes 0
lasso (causally tuned),sign(s),per time value,-0.0034482895707383704,-0.19523664327012621,14,0.09341428255001905,-0.40958642050955824,0.5526090787014302,-0.3657805136013921,0.5964149856095964,includes 0
lasso (fixed 1e-4),always short,per premium,0.010596381859217891,0.6881448157916442,14,0.29622298422854354,-0.17607493378866193,0.7533205313374844,-0.16087456288039736,0.768520902245749,includes 0
lasso (fixed 1e-4),always short,per time value,0.008097266307847375,0.525291284059719,14,0.14696854744592677,-0.32277432967789654,0.6078163222198302,-0.31387922732797663,0.61671142456975,includes 0
lasso (fixed 1e-4),sign(s),per premium,-0.03735669524136498,-2.3365959528637186,14,-0.12082384323762452,-0.5264977963682942,0.2608016200929371,-0.5024493065681861,0.28485010989304516,includes 0
lasso (fixed 1e-4),sign(s),per time value,-0.007063774735029404,-0.43864925879613054,14,0.04661251493642804,-0.4011173497438357,0.47383487533507196,-0.3806098454622159,0.4943423796166918,includes 0
elastic net (causally tuned),always short,per premium,0.010596381859217891,0.6881448157916442,14,0.29622298422854354,-0.17607493378866193,0.7533205313374844,-0.16087456288039736,0.768520902245749,includes 0
elastic net (causally tuned),always short,per time value,0.008097266307847375,0.525291284059719,14,0.14696854744592677,-0.32277432967789654,0.6078163222198302,-0.31387922732797663,0.61671142456975,includes 0
elastic net (causally tuned),sign(s),per premium,-0.018038289547264722,-0.9010666618257419,14,0.06537254385661839,-0.42588957604815864,0.5811558909093386,-0.4504108031961018,0.5566346637613955,includes 0
elastic net (causally tuned),sign(s),per time value,0.0025837223783061387,0.14049131597351847,14,0.14688608492360644,-0.35944730606488584,0.622319777897305,-0.3285476080500921,0.6532194759120987,includes 0
