rule,frame,w,causal_g_ann,causal_maxDD,causal_terminal,causal_worst_day_factor,half_g_ann,half_maxDD,half_terminal,half_worst_day_factor,mean_f,plain_g_ann,plain_mean_f,plain_terminal,plain_worst_day_factor
always short,capital at risk,20,-0.0001971189732803233,-0.0006802982808281621,0.9993197017191718,0.9993819261911867,-9.854557089006469e-05,-0.0003401589846918629,0.9996598410153081,0.9996909630955934,1.1187631447182e-06,,,,
always short,per premium,20,-0.07925284298255618,-0.3725193570062504,0.7606278977626358,0.9020738657080779,-0.03649232186010453,-0.2010624772506595,0.881627721188969,0.9510369328540389,0.003835279283837384,-0.11855405646399497,0.013431746602019989,0.6641191078076852,0.800078866645783
long-short volatility,capital at risk,20,0.24125020940724565,-0.4307698691793983,2.2999505615262374,0.9331927391559602,0.14856520813237625,-0.2302804613619558,1.6701337194377615,0.9665963695779801,0.02888452429376094,,,,
long-short volatility,per premium,20,0.6757672446495512,-0.7364953533444449,10.308883133269722,0.639617638203094,0.4693827215842467,-0.44762593670406203,5.055556661476149,0.819808819101547,0.05418948340860879,1.020255719264077,0.06298699387849649,33.8626085069276,0.5128556142049532
always short,capital at risk,25,-0.006008975297846991,-0.023747636087552704,0.979468430965082,0.9898347659745464,-0.00299485622902394,-0.011913249814985316,0.989713883093625,0.9949173829872733,0.0005296561717949145,,,,
always short,per premium,25,-0.11153196196818876,-0.4611557186285604,0.6804160558466389,0.8779594355019749,-0.0496145719480309,-0.2535286150137803,0.8425785361196958,0.9389797177509874,0.006072195420150184,-0.11855405646399497,0.013431746602019989,0.6641191078076852,0.800078866645783
long-short volatility,capital at risk,25,0.2706319426206601,-0.41920139524976263,2.5454935584910094,0.932454915985937,0.16807586907720867,-0.2301168119141176,1.7865063072059777,0.9662274579929685,0.03400535712918657,,,,
long-short volatility,per premium,25,0.7275150938891085,-0.7704324536631436,12.325363996933321,0.5592778993072877,0.5268186971210863,-0.47117146982208524,6.164326194203327,0.7796389496536438,0.0583333470286849,1.020255719264077,0.06298699387849649,33.8626085069276,0.5128556142049532
always short,capital at risk,30,-0.004841712362447134,-0.019128534952742804,0.9834234921993167,0.9920781796042516,-0.0024148929919113327,-0.0095903969689759,0.9916975269241792,0.9960390898021257,0.0004841481597552945,,,,
always short,per premium,30,-0.1258738477805378,-0.4828650990449722,0.6475466287547597,0.8668137914630111,-0.05552582246304628,-0.2664314777244463,0.8255575589913142,0.9334068957315056,0.007152778795585638,-0.11855405646399497,0.013431746602019989,0.6641191078076852,0.800078866645783
long-short volatility,capital at risk,30,0.2867118956593156,-0.4358658672156025,2.6908003773199973,0.9309928095535115,0.17878342520856624,-0.24086307216617941,1.8537831403809157,0.9654964047767558,0.037189687436124524,,,,
long-short volatility,per premium,30,0.7807753515821231,-0.7968046170116824,14.81342629895489,0.5284100437865216,0.5694061435654183,-0.4893668919564331,7.140672247382731,0.7642050218932608,0.05983051958197609,1.020255719264077,0.06298699387849649,33.8626085069276,0.5128556142049532
always short,capital at risk,50,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,
always short,per premium,50,-0.11664193437001837,-0.5101605461324779,0.6685177087809786,0.8490391367480634,-0.048213256559337586,-0.28164105204195755,0.8466647015894402,0.9245195683740317,0.008970298897158016,-0.11855405646399497,0.013431746602019989,0.6641191078076852,0.800078866645783
long-short volatility,capital at risk,50,0.2682411466735476,-0.4652027715929594,2.524569682472595,0.9319024461358931,0.16952852791565437,-0.2577100631896264,1.7954883759296676,0.9659512230679466,0.04035326391902192,,,,
long-short volatility,per premium,50,0.8939175167746518,-0.7718118101183138,21.892493333696336,0.5317309208596845,0.6371762856781467,-0.4672457612909683,9.022985553933347,0.7658654604298423,0.06157778495593613,1.020255719264077,0.06298699387849649,33.8626085069276,0.5128556142049532
