series,days,block-diagonal ridge: corr,block-diagonal ridge: lo,block-diagonal ridge: hi,per-bar ridge (live-feasible set): corr,per-bar ridge (live-feasible set): lo,per-bar ridge (live-feasible set): hi
"S&P 500 return, 15:30->close",866,-0.06037179657922581,-0.17317383947378726,0.019317501789216,-0.0677504545384046,-0.18094788814370755,0.016792843635090614
"S&P 500 |return|, 15:30->close",866,-0.10883250783978644,-0.20616319794102989,-0.000967212337563395,-0.09083586131769925,-0.20032287425216674,0.017975696408623874
"S&P 500 return, close-to-close",866,0.0007451120521329036,-0.059081018334400694,0.049796857952479553,-0.0006489169098749806,-0.058304993009617015,0.0660457990515528
"S&P 500 |return|, close-to-close",866,-0.046073796321473806,-0.08792878085733208,0.009681018660997449,0.0006853458773098621,-0.046035845864733735,0.05903588465152469
"VIX change, close-to-close (points)",861,0.01205725146388198,-0.038136509070803674,0.06732473318343771,0.00924178417471342,-0.05573902543465894,0.055079907337567624
"VIX change, 15:30->16:00 (panel)",795,0.06165283826607336,-0.026603606251107057,0.15545113779127467,0.04013258095830498,-0.037553013243311846,0.14317087449917745
"Nasdaq-100 return, close-to-close",866,-0.01893867764083106,-0.07853504762080028,0.03344762538111329,-0.009983980973710546,-0.07255166479132209,0.05703573818542598
"Russell 2000 return, close-to-close",866,0.0054150463367751474,-0.058658010573017616,0.0590424410284079,0.021934022936470118,-0.04297642618435112,0.09343530033734554
"10-year Treasury yield change, close-to-close (points)",856,0.026872330582256142,-0.034824818034482584,0.08572209410680068,-0.016522454010630683,-0.08594265316044442,0.05089471909671614
"long Treasuries (TLT) total return, close-to-close",864,-0.030946812437460253,-0.09286368175552963,0.03520927093644563,0.026662685811917393,-0.036350694125331,0.08877725867170914
"high-yield credit (HYG) total return, close-to-close",858,-0.01665098484705174,-0.05873153780440443,0.03419484532542278,-0.001573022739943696,-0.06162190952079212,0.07324983901075667
"dollar index return, close-to-close",856,-0.04085991938972092,-0.10004822786526431,0.016189723980783895,-0.0426326128346712,-0.11163887174193265,0.02314342929620599
"realized minus implied variance, 15:30->16:00",866,-0.013399753337532187,-0.06514603428071268,0.10095791174780754,-0.03043166733224381,-0.08430571907939807,0.09049666493781913
