w,wings,rule,n,Sharpe_hedged,Sharpe_plain,dSharpe,NW_t_diff,worst_hedged,worst_plain,wing_cost_pts_per_sell_day,pct_sell_days_beyond_wing
25,none,always short,870.0,0.26771619981729206,0.267716199817292,5.551115123125783e-17,0.04020416908939565,-10.31604850795286,-10.31604850795286,0.0,0.0
25,none,long-short volatility,870.0,1.6165916717659885,1.6165916717659885,0.0,0.4700729840914396,-5.422480279928936,-5.422480279928936,0.0,0.0
25,put,always short,870.0,0.018393564453300808,0.267716199817292,-0.24932263536399119,-2.9630064899809545,-6.852427120959987,-10.31604850795286,0.09328124958422335,2.0689655172413794
25,put,long-short volatility,870.0,1.4485351048965507,1.6165916717659885,-0.16805656686943782,-2.9495371315249317,-5.4295225336495925,-5.422480279928936,0.09441639766405756,2.2598870056497176
25,call,always short,870.0,0.19563764897938893,0.267716199817292,-0.07207855083790307,-0.8093114205290082,-10.323682095908442,-10.31604850795286,-0.09997709968780306,1.9540229885057472
25,call,long-short volatility,870.0,1.5847065858186309,1.6165916717659885,-0.031885085947357616,-0.7198354597648325,-5.4295225336495925,-5.422480279928936,-0.15859724252910937,2.0715630885122414
25,both,always short,870.0,-0.061970854871848904,0.267716199817292,-0.3296870546891409,-2.5038402631071026,-6.8688205640835145,-10.31604850795286,-0.006695850103579718,4.022988505747127
25,both,long-short volatility,870.0,1.4169469857867292,1.6165916717659885,-0.19964468597925933,-2.4961398526693372,-5.436564787370249,-5.422480279928936,-0.06418084486505181,4.3314500941619585
50,none,always short,870.0,0.26771619981729206,0.267716199817292,5.551115123125783e-17,0.04020416908939565,-10.31604850795286,-10.31604850795286,0.0,0.0
50,none,long-short volatility,870.0,1.6165916717659885,1.6165916717659885,0.0,0.4700729840914396,-5.422480279928936,-5.422480279928936,0.0,0.0
50,put,always short,870.0,0.15320571476315764,0.267716199817292,-0.11451048505413436,-5.627193627831888,-10.323682095908442,-10.31604850795286,0.04244814201889709,0.45977011494252873
50,put,long-short volatility,870.0,1.5570991252088426,1.6165916717659885,-0.059492546557145864,-2.9976516322854034,-5.4295225336495925,-5.422480279928936,0.031779662114892526,0.5649717514124294
50,call,always short,870.0,0.21474367685464563,0.267716199817292,-0.05297252296264637,-1.5444935197223824,-10.323682095908442,-10.31604850795286,-0.07031603479736495,0.5747126436781609
50,call,long-short volatility,870.0,1.5988423929096354,1.6165916717659885,-0.017749278856353135,-0.7537146797632935,-5.4295225336495925,-5.422480279928936,-0.11665701028836536,0.5649717514124294
50,both,always short,870.0,0.09965718913608694,0.267716199817292,-0.16805901068120505,-3.924279142507691,-10.331315683864023,-10.31604850795286,-0.027867892778467858,1.0344827586206897
50,both,long-short volatility,870.0,1.539482491816409,1.6165916717659885,-0.07710917994957955,-2.179585309684074,-5.436564787370249,-5.422480279928936,-0.08487734817347284,1.1299435028248588
