model,Sharpe_mean,t_mean,mean_mean,buy_share_mean,hit_rate_mean,Sharpe_median,t_median,mean_median,buy_share_median,hit_rate_median,diff_per_day,diff_t,dSharpe_lo,dSharpe_hi,dSharpe_basic_lo,dSharpe_basic_hi,percentile_interval,basic_interval,days_mean_buys_median_sells,their_mean_R,same_position_share
baseline (HAR + calendar OLS),1.0197706481673614,1.890432535783543,0.07229413812146725,0.325635103926097,0.5554272517321016,0.8833951568780399,1.6376220962203838,0.06265831209753095,0.11316397228637413,0.6062355658198614,-0.009635826023936294,-0.2329593457098991,-1.1352685650495242,1.0003086137313106,-1.2730595963099536,0.8625175824708813,includes zero,includes zero,184,0.022675612328067477,0.7875288683602771
block-diagonal ridge,1.417900168623448,2.628477899492193,0.10032612144006828,0.4006928406466513,0.5427251732101617,0.49819790579531753,0.9235503415078937,0.03537396579403718,0.17090069284064666,0.5854503464203233,-0.0649521556460311,-1.5855817202532843,-2.009631724471907,0.22926603379468805,-2.068670559450949,0.17022719881564607,includes zero,includes zero,199,0.1413280572599571,0.7702078521939953
LightGBM,1.550368645450925,2.8740455857267273,0.10961426641441692,0.32678983833718245,0.5519630484988453,1.0670207048794393,1.9780238433845738,0.07562906440886848,0.1235565819861432,0.6120092378752887,-0.033985202005548436,-0.7718160705314006,-1.5813517740714538,0.6717601909249687,-1.6384560720679398,0.6146558929284827,includes zero,includes zero,176,0.08361132084319588,0.7967667436489607
XGBoost,1.4366422600793425,2.66322165245324,0.1016415367572751,0.3210161662817552,0.5484988452655889,1.0092599709550456,1.8709480308990492,0.07155202822545166,0.12240184757505773,0.6039260969976905,-0.03008950853182344,-0.6598316819690596,-1.5892385056782599,0.7833753348979738,-1.6381399131465675,0.7344739274296661,includes zero,includes zero,172,0.07574858833883456,0.8013856812933026
lasso (causally tuned),1.351728775425614,2.5058105577089043,0.09567860561059384,0.3729792147806005,0.5473441108545035,0.7415510278900296,1.3746739941832236,0.052621477235398735,0.13279445727482678,0.5912240184757506,-0.043057128375195125,-1.040281354642047,-1.6735415885425529,0.4719862976321126,-1.6923417927032813,0.45318609347138405,includes zero,includes zero,208,0.08963334897336293,0.7598152424942263
lasso (fixed 1e-4),1.5740224900202557,2.917894658506562,0.11127046281668117,0.42609699769053117,0.5381062355658198,0.8992021223547964,1.6669247652891286,0.06377592538900845,0.1720554272517321,0.5912240184757506,-0.04749453742767271,-1.100917034675983,-1.85442449915011,0.6007039626013064,-1.9503446979322252,0.5047837638191912,includes zero,includes zero,220,0.0934778850281013,0.745958429561201
elastic net (causally tuned),1.086045920619251,2.0132924470647007,0.076971312780244,0.34526558891454967,0.5450346420323325,0.6086347817080618,1.1282762411510443,0.04320492936992587,0.13625866050808313,0.5900692840646651,-0.03376638341031813,-0.8756855246535393,-1.48254732978468,0.623685529991507,-1.5785078078138852,0.5277250519623018,includes zero,includes zero,181,0.08077814373849586,0.7909930715935335
