rule,f,g_ann,terminal,maxDD_frac,worst_day_factor,ruin_bound_f,n
always short,0.03,-0.043388862655741274,0.8614776462100451,-0.549049175188413,0.6905185447614142,0.09693634139361391,866.0
sign(s),0.03,0.6294089084999944,8.696917994298525,-0.43637249738194883,0.8373255916021319,0.18441745260032655,866.0
"sign(s), flat on event days",0.03,0.721534083116408,11.935982807745452,-0.3996185885163568,0.8844298131167864,0.2595825169887083,866.0
