model,spearman_rho,p_sp,kendall_tau,p_kt,n
HAR + calendar OLS,-0.025491315612412784,0.45269670893690994,-0.016887878973448695,0.4650644967550004,870
block-diag ridge,-0.0368752562938198,0.27727130464735933,-0.024146108443780834,0.296250352263158,870
LightGBM,-0.03932162766375648,0.24661846375721522,-0.026944003786012156,0.24380087727383892,870
XGBoost,-0.031105954356063597,0.35945897863276943,-0.02191865778297531,0.34305132874959077,870
lasso (causally tuned),-0.028035889036494607,0.40885324664203837,-0.01917509050564168,0.4068369674483061,870
lasso (fixed 1e-4),-0.032836625782387295,0.33333926676995773,-0.021641584651997062,0.3491867513252086,870
elastic net (causally tuned),-0.03596907332899678,0.28925706020027986,-0.02553147409867207,0.2694040291103855,870
