,always short,long-short volatility,unit-median VRP
w10,-0.21458559194388255,-0.19041639066365457,0.254460443486484
w25,0.07196474060807465,-0.04093200501104147,0.4330751118756262
w50,0.11014530202671062,-0.1539906432382093,0.44117988046063716
w75,-0.03213353679800147,-0.3161513609758356,0.344828816073361
w100,-0.04494433591477124,-0.3315356294027197,0.3396270365317482
c1xentry,-0.3342979216108036,-0.24750929133821634,0.034070491846547306
c2xentry,-0.1986639561741063,-0.25858121135703654,0.35743786336457306
c4xentry,-0.12846452454820073,-0.28724588469193174,0.5539376699657366
