rule,mean_delta,HAC_t,hac_lag,dSharpe,boot_lo,boot_hi,boot_basic_lo,boot_basic_hi,verdict_dSharpe,worst_day_change,maxDD_pts_change,placebo_pct_worst,placebo_pct_maxDD_pts,placebo_pct_dSharpe,tie_pct_worst,tie_pct_maxDD_pts,tie_pct_dSharpe,subset_pct_worst,subset_pct_maxDD_pts,subset_pct_dSharpe
A: flat on flagged days,-0.027765559104488864,-1.3579707006939439,14,-0.2026145172528131,-0.7608996202998174,0.3706306063088798,-0.775859640814506,0.3556705857941912,includes 0,0.0,0.0,33.728179551122196,68.39152119700749,69.20199501246883,67.45635910224439,63.21695760598504,0.0,34.2,71.075,68.55
B: flat on flagged days only when selling,-0.02108540106360051,-1.7764843567544712,14,-0.2415951742078961,-0.58404409690788,0.09702131166411636,-0.5802116600799085,0.10085374849208772,includes 0,0.0,0.0,33.728179551122196,61.471321695760594,45.137157107231914,67.45635910224439,77.0573566084788,0.0,34.2,64.625,46.150000000000006
