rule,frame,w,causal_g_ann,causal_maxDD,causal_terminal,causal_worst_day_factor,half_g_ann,half_maxDD,half_terminal,half_worst_day_factor,mean_f,uncapped_g_ann,uncapped_mean_f,uncapped_terminal
always short,capital at risk,25,-0.006008975297846991,-0.023747636087552704,0.979468430965082,0.9898347659745464,-0.00299485622902394,-0.011913249814985316,0.989713883093625,0.9949173829872733,0.0005296561717949145,,,
always short,per premium,25,-0.11153196196818876,-0.4611557186285604,0.6804160558466389,0.8779594355019749,-0.0496145719480309,-0.2535286150137803,0.8425785361196958,0.9389797177509874,0.006072195420150184,-0.11855405646399497,0.013431746602019989,0.6641191078076852
long-short volatility,capital at risk,25,0.21120556682585084,-0.6284962790658067,2.073342575990745,0.9008201806590969,0.18003400796645777,-0.3804494963562859,1.8618041298194472,0.9504100903295485,0.06311941758913749,,,
long-short volatility,per premium,25,0.14208890165960175,-0.8666710880613591,1.6332061035591743,0.5931555849755255,0.29564633371039706,-0.5704660861790958,2.7750916429595684,0.7965777924877627,0.07356078094546545,0.5970096999074799,0.08641919981073287,7.854643741723778
always short,capital at risk,50,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,
always short,per premium,50,-0.11664193437001837,-0.5101605461324779,0.6685177087809786,0.8490391367480634,-0.048213256559337586,-0.28164105204195755,0.8466647015894402,0.9245195683740317,0.008970298897158016,-0.11855405646399497,0.013431746602019989,0.6641191078076852
long-short volatility,capital at risk,50,0.2924434842230167,-0.6990566971580334,2.7445752156220657,0.8893289175320426,0.22877190598465108,-0.387759962753373,2.202972909525485,0.9446644587660213,0.07519446625793103,,,
long-short volatility,per premium,50,0.3992104095773599,-0.9031386370774958,3.9678580457300217,0.5280034359987883,0.49820474299449696,-0.6157864072246475,5.58448694402001,0.7640017179993941,0.08322494980992881,0.5970096999074799,0.08641919981073287,7.854643741723778
