forecast,sign(s) mid,flat mid,change mid,95% mid,reading mid,sign(s) crossed,flat crossed,change crossed,95% crossed,reading crossed
baseline (HAR + calendar OLS),0.9673095454705917,1.4369691025113889,0.4696595570407972,"[+0.117, +0.861]",excludes zero,0.49093226316152744,0.9895066251173765,0.4985743619558491,"[+0.155, +0.884]",excludes zero
block-diagonal ridge,1.3383216004229939,1.7833720439077283,0.44505044348473444,"[+0.080, +0.889]",excludes zero,0.8695877009703311,1.3488253514521895,0.4792376504818584,"[+0.117, +0.914]",excludes zero
"block-diagonal ridge, without the FOMC columns",1.2707081191811798,1.6915286654759984,0.4208205462948187,"[+0.068, +0.851]",excludes zero,0.8046134630083878,1.2611366213237145,0.45652315831532675,"[+0.105, +0.876]",excludes zero
LightGBM,1.4593971219265764,1.6175060994959052,0.15810897756932873,"[-0.228, +0.561]",includes zero,0.9818045863151208,1.1715797311622382,0.18977514484711744,"[-0.202, +0.590]",includes zero
XGBoost,1.4980323951467007,1.8239050333815379,0.32587263823483714,"[-0.047, +0.703]",includes zero,1.0215326073475821,1.3788107711852127,0.35727816383763056,"[-0.018, +0.727]","knife-edge, includes zero"
lasso (causally tuned),1.4131037944414562,1.7784733802986918,0.36536958585723567,"[-0.025, +0.792]","knife-edge, includes zero",0.9346206653459997,1.3308268971968753,0.39620623185087556,"[+0.011, +0.828]","knife-edge, excludes zero"
lasso (fixed 1e-4),1.509829846463058,1.8326570333932801,0.32282718693022217,"[-0.079, +0.781]",includes zero,1.0444324874859765,1.4028976601808494,0.3584651726948729,"[-0.044, +0.813]",includes zero
elastic net (causally tuned),1.0224751588133707,1.3195814928266352,0.2971063340132645,"[-0.106, +0.745]",includes zero,0.5449047373133905,0.8708691096731437,0.3259643723597532,"[-0.077, +0.768]",includes zero
