rule,model,year,vol_raw,vol_scaled
always short,a0,2020,0.985535099966914,1.0005325026113108
always short,a0,2021,1.3327744818648204,1.2977469036375209
always short,a0,2022,0.8344164839352218,1.0002913049418287
always short,a0,2023,1.1410807454426093,1.0527665905530506
always short,a0,2024,1.3328178471736716,1.1145346092817925
always short,blk2,2020,0.985535099966914,1.0005325026113108
always short,blk2,2021,1.3327744818648204,1.2977469036375209
always short,blk2,2022,0.8344164839352218,1.0002913049418287
always short,blk2,2023,1.1410807454426093,1.0527665905530506
always short,blk2,2024,1.3328178471736716,1.1145346092817925
always short,enet,2020,0.985535099966914,1.0005325026113108
always short,enet,2021,1.3327744818648204,1.2977469036375209
always short,enet,2022,0.8344164839352218,1.0002913049418287
always short,enet,2023,1.1410807454426093,1.0527665905530506
always short,enet,2024,1.3328178471736716,1.1145346092817925
always short,lasso_f,2020,0.985535099966914,1.0005325026113108
always short,lasso_f,2021,1.3327744818648204,1.2977469036375209
always short,lasso_f,2022,0.8344164839352218,1.0002913049418287
always short,lasso_f,2023,1.1410807454426093,1.0527665905530506
always short,lasso_f,2024,1.3328178471736716,1.1145346092817925
always short,lasso_t,2020,0.985535099966914,1.0005325026113108
always short,lasso_t,2021,1.3327744818648204,1.2977469036375209
always short,lasso_t,2022,0.8344164839352218,1.0002913049418287
always short,lasso_t,2023,1.1410807454426093,1.0527665905530506
always short,lasso_t,2024,1.3328178471736716,1.1145346092817925
always short,lgbm,2020,0.985535099966914,1.0005325026113108
always short,lgbm,2021,1.3327744818648204,1.2977469036375209
always short,lgbm,2022,0.8344164839352218,1.0002913049418287
always short,lgbm,2023,1.1410807454426093,1.0527665905530506
always short,lgbm,2024,1.3328178471736716,1.1145346092817925
always short,xgb,2020,0.985535099966914,1.0005325026113108
always short,xgb,2021,1.3327744818648204,1.2977469036375209
always short,xgb,2022,0.8344164839352218,1.0002913049418287
always short,xgb,2023,1.1410807454426093,1.0527665905530506
always short,xgb,2024,1.3328178471736716,1.1145346092817925
long-short volatility,a0,2020,0.9828470859749018,0.9976300416909916
long-short volatility,a0,2021,1.3329636768236817,1.28099150876309
long-short volatility,a0,2022,0.8370735426869342,0.9992112043343245
long-short volatility,a0,2023,1.140287142763604,1.0531980073366907
long-short volatility,a0,2024,1.3371456161052657,1.126551014469705
long-short volatility,blk2,2020,0.9476296382555672,0.9749585664951264
long-short volatility,blk2,2021,1.3307117966923931,1.2327454904669248
long-short volatility,blk2,2022,0.8408022164455067,0.9680533578999375
long-short volatility,blk2,2023,1.130433723683141,1.0316085432863804
long-short volatility,blk2,2024,1.3182557561326247,1.1104321552593943
long-short volatility,enet,2020,0.9772110467858854,0.9879026361137413
long-short volatility,enet,2021,1.3249159840666642,1.2746441351472422
long-short volatility,enet,2022,0.8406429859011325,0.9873589694980254
long-short volatility,enet,2023,1.1387728335524352,1.0477482515700853
long-short volatility,enet,2024,1.317488387474467,1.1105453317366425
long-short volatility,lasso_f,2020,0.9526229722453418,0.9775301550117472
long-short volatility,lasso_f,2021,1.3228888577337545,1.2187883910378554
long-short volatility,lasso_f,2022,0.8402343381304204,0.9562741489718039
long-short volatility,lasso_f,2023,1.1349325747942898,1.0275515989708799
long-short volatility,lasso_f,2024,1.3006292107684654,1.092460941370451
long-short volatility,lasso_t,2020,0.9609071751157747,0.9811622644255505
long-short volatility,lasso_t,2021,1.330137368729595,1.2628340430469873
long-short volatility,lasso_t,2022,0.837859003855755,0.9763930846037733
long-short volatility,lasso_t,2023,1.1350012483740624,1.039894863138026
long-short volatility,lasso_t,2024,1.3206250677047595,1.103792610866843
long-short volatility,lgbm,2020,0.970690935454519,0.9901379933458605
long-short volatility,lgbm,2021,1.3203250224787593,1.2675387984801043
long-short volatility,lgbm,2022,0.8371045518514966,0.9855494872297117
long-short volatility,lgbm,2023,1.1423453109495731,1.0476998050981936
long-short volatility,lgbm,2024,1.3346655862029826,1.1204320275494524
long-short volatility,xgb,2020,0.9715757518054462,0.9951091178759144
long-short volatility,xgb,2021,1.3216549232023764,1.273888589122525
long-short volatility,xgb,2022,0.8379827587969377,0.9881943028046162
long-short volatility,xgb,2023,1.1412522100514517,1.0500631878156494
long-short volatility,xgb,2024,1.342444355735284,1.120465534089176
